Paper_ID,Author_ID,Author_Name,Author_Position,Is_Corresponding,Institution_IDs,Institution_Names
W3111554765,A5109723501,Bartosz Maćkowiak,first,True,I153515283,European Central Bank
W3111554765,A5074819510,Mirko Wiederholt,last,False,I111979921,Northwestern University
W2910976764,A5030179737,Charles I. Jones,first,True,I97018004,Stanford University
W2910976764,A5044124853,Christopher Tonetti,last,False,I97018004,Stanford University
W2473283431,A5089793687,Nguyen Cong Luong,first,True,I172675005,Nanyang Technological University
W2473283431,A5007992576,Dinh Thai Hoang,middle,False,I172675005,Nanyang Technological University
W2473283431,A5100338634,Ping Wang,middle,False,I172675005,Nanyang Technological University
W2473283431,A5091266202,Dusit Niyato,middle,False,I172675005,Nanyang Technological University
W2473283431,A5022649488,Dong In Kim,middle,False,I848706,Sungkyunkwan University
W2473283431,A5063667378,Zhu Han,last,False,I44461941,University of Houston
W2790400697,A5100640162,Fan Liang,first,True,I4322298,Towson University
W2790400697,A5002139930,Wei Yu,middle,False,I4322298,Towson University
W2790400697,A5035313256,Dou An,middle,False,I87445476,Xi'an Jiaotong University
W2790400697,A5087373711,Qingyu Yang,middle,False,I87445476,Xi'an Jiaotong University
W2790400697,A5063375840,Xinwen Fu,middle,False,I106165777,University of Central Florida
W2790400697,A5002311337,Wei Zhao,last,False,I199440890,American University of Sharjah
W2018362551,A5048194802,Sarah Spiekermann,first,True,I102248843,Vienna University of Economics and Business
W2018362551,A5086228116,Alessandro Acquisti,middle,False,I74973139,Carnegie Mellon University
W2018362551,A5029455813,Rainer Böhme,middle,False,I22465464,University of Münster
W2018362551,A5045420836,Kai-Lung Hui,last,False,I200769079,Hong Kong University of Science and Technology
W2010653253,A5101951074,Soumya Sen,first,True,I20089843,Princeton University
W2010653253,A5085243096,Carlee Joe‐Wong,middle,False,I20089843,Princeton University
W2010653253,A5023497481,Sangtae Ha,middle,False,I20089843,Princeton University
W2010653253,A5110782105,Mung Chiang,last,False,I20089843,Princeton University
W2097281067,A5023497481,Sangtae Ha,first,True,I20089843,Princeton University
W2097281067,A5101951074,Soumya Sen,middle,False,I20089843,Princeton University
W2097281067,A5085243096,Carlee Joe‐Wong,middle,False,I20089843,Princeton University
W2097281067,A5102836772,Youngbin Im,middle,False,I139264467,Seoul National University
