Clean_ID,Title,Future_Citations
W2910976764,Nonrivalry and the Economics of Data,371
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",182
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,151
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,138
W2018362551,The challenges of personal data markets and privacy,128
W2759182208,Pricing privacy – the right to know the value of your personal data,73
W3084177365,A Survey on Data Pricing: From Economics to Data Science,72
W2293940046,Query-Based Data Pricing,58
W2743929098,Data pricing strategy based on data quality,54
W3123243120,Nonrivalry and the Economics of Data,52
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,45
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,32
W2533772775,A pricing model for Big Personal Data,29
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,28
W2010653253,A survey of smart data pricing,26
W3124517880,Optimal Sticky Prices under Rational Inattention,26
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,25
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,25
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,24
W2765365501,Pricing of Data Products in Data Marketplaces,23
W2612128091,QIRANA,20
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,18
W2168402580,Query-based data pricing,16
W2097281067,TUBE,13
W2180742472,Smart data pricing,10
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,9
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,6
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",5
W1994174199,Smart data pricing: To share or not to share?,2
W1998665878,When Network Effect Meets Congestion Effect,1
