"sample_id","edge_id","source_clean_id","citing_paper_title","matched_pdf_name","matched_pdf_path","pdf_status","source_type","annotation_pdf_name","annotation_pdf_path"
"S001","W4226305897->W2790400697","W4226305897","Business Data Sharing through Data Marketplaces: A Systematic Literature Review","Source_W4226305897.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4226305897.pdf","copied","existing_source_pdf","S001__Business Data Sharing through Data Marketplaces A Systematic Literature Review.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S001__Business Data Sharing through Data Marketplaces A Systematic Literature Review.pdf"
"S002","W4220901737->W2765365501","W4220901737","Data Market Design: A Systematic Literature Review","Source_W4220901737.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4220901737.pdf","copied","existing_source_pdf","S002__Data Market Design A Systematic Literature Review.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S002__Data Market Design A Systematic Literature Review.pdf"
"S003","W4377865288->W2910976764","W4377865288","The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers","Source_W4377865288.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4377865288.pdf","copied","existing_source_pdf","S003__The Dimensions of Data Labor A Road Map for Researchers, Activists, and Policyma.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S003__The Dimensions of Data Labor A Road Map for Researchers, Activists, and Policyma.pdf"
"S004","W4210813858->W3084177365","W4210813858","Data Boundary and Data Pricing Based on the Shapley Value","Source_W4210813858.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4210813858.pdf","copied","existing_source_pdf","S004__Data Boundary and Data Pricing Based on the Shapley Value.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S004__Data Boundary and Data Pricing Based on the Shapley Value.pdf"
"S005","W3202603574->W2974598553","W3202603574","COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution","Source_W3202603574.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3202603574.pdf","copied","existing_source_pdf","S005__COVID-19 acceleration in digitalisation, aggregate productivity growth and the f.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S005__COVID-19 acceleration in digitalisation, aggregate productivity growth and the f.pdf"
"S006","W3186955607->W2018362551","W3186955607","Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment","Source_W3186955607.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3186955607.pdf","copied","existing_source_pdf","S006__Pricing through health apps generated data—Digital dividend as a game changer Di.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S006__Pricing through health apps generated data—Digital dividend as a game changer Di.pdf"
"S007","W2956647116->W2790400697","W2956647116","Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning","Source_W2956647116.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2956647116.pdf","copied","existing_source_pdf","S007__Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S007__Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning.pdf"
"S008","W2790400697->W2533772775","W2790400697","A Survey on Big Data Market: Pricing, Trading and Protection","06_A Survey on Big Data Market Pricing Trading and Protection.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\06_A Survey on Big Data Market Pricing Trading and Protection.pdf","copied","core_numbered_pdf","S008__A Survey on Big Data Market Pricing, Trading and Protection.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S008__A Survey on Big Data Market Pricing, Trading and Protection.pdf"
"S009","W2508874533->W2010653253","W2508874533","Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications","Source_W2508874533.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2508874533.pdf","copied","existing_source_pdf","S009__Smart Media Pricing (SMP) Non-uniform packet pricing game for wireless multimedi.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S009__Smart Media Pricing (SMP) Non-uniform packet pricing game for wireless multimedi.pdf"
"S010","W2906578628->W2473283431","W2906578628","The Internet of Things: A Review of Enabled Technologies and Future Challenges","Source_W2906578628.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2906578628.pdf","copied","existing_source_pdf","S010__The Internet of Things A Review of Enabled Technologies and Future Challenges.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S010__The Internet of Things A Review of Enabled Technologies and Future Challenges.pdf"
"S011","W4319769514->W3084177365","W4319769514","Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing","Source_W4319769514.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4319769514.pdf","copied","existing_source_pdf","S011__Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S011__Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing.pdf"
"S012","W2942073230->W2765365501","W2942073230","Big Data Market Optimization Pricing Model Based on Data Quality","Source_W2942073230.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2942073230.pdf","copied","existing_source_pdf","S012__Big Data Market Optimization Pricing Model Based on Data Quality.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S012__Big Data Market Optimization Pricing Model Based on Data Quality.pdf"
