sample_id,edge_id,citing_paper_title,cited_paper_title,citation_context,citation_context_wrapped,LLM_section,LLM_sentiment,LLM_relevance,LLM_confidence,section_annotation_note,human_section,human_sentiment,human_relevance
S001,W4226305897->W2790400697,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,"A Survey on Big Data Market: Pricing, Trading and Protection","auction based pricing using the Bayesian mathematical model [140,141], a pricing mechanism negotiation based on a negotiation game theory based in the energy domain [142], and a generic pricing mechanism based on a non cooperative game the ory in Mobile Crowdsensing [143]. Finally, Stahl and Vossen [144] discuss data quality criteria (such as accuracy, completeness) that can be used to relatively price data, while Jang et al. [145] propose a three hierarchal model of data trading and create a pricing function to achieve Nash Equilibrium (NE). 4. Discussion This paper aims to investigate the current","auction based pricing using the Bayesian mathematical model [140,141], a pricing mechanism negotiation based
on a negotiation game theory based in the energy domain [142], and a generic pricing mechanism based on a non
cooperative game the ory in Mobile Crowdsensing [143]. Finally, Stahl and Vossen [144] discuss data quality
criteria (such as accuracy, completeness) that can be used to relatively price data, while Jang et al. [145]
propose a three hierarchal model of data trading and create a pricing function to achieve Nash Equilibrium
(NE). 4. Discussion This paper aims to investigate the current",Discussion,0.85,0.9,0.95,??????????? section????????????????? Other?,,,
S002,W4220901737->W2765365501,Data Market Design: A Systematic Literature Review,Pricing of Data Products in Data Marketplaces,"maintaining data sovereignty [21]. Golrezaei et al. discuss different pricing schemes applicable to data markets for trafﬁc data, paying particular attention to the differences between ‘raw’ sensor data, which they show to be less valuable, and ‘processed’ data, which is perceived as more valuable [22]. Finally, Fricker et al. performed a struc tured literature review with snowballing and provide the most extensive overview of pricing data products in the academic literature on data markets [23]. They identify fourteen differ ent approaches and evaluate each of these on functionality, context and

... [另一次引用] ...

ated with it. Finally, we note that the data consumer is not the only role with requirements as the data provider can also expect to be somehow rewarded for the exchange. As was previously noted in the introduction, the price determination problem has already been extensively covered in other works [22], [23]. However, other mechanisms for rewarding data providers can VOLUME 10, 2022 33139 S. W. Driessen et al.: Data Market Design: Systematic Literature Review also be considered, such as services [64], [91] or company rewards for internal data markets [33], [94]. 3) DATA GOVERNANCE Data governance

... [另一次引用] ...

merg. Telecommun. Technol., vol. 28, no. 1, p. e3125, Jan. 2017. [21] A. Muschalle, F. Stahl, A. Löser, and G. Vossen, ‘‘Pricing approaches for data markets,’’ in Proc. Int. Workshop Bus. Intell. Real Time Enterprise, in Lecture Notes in Business Information Processing, vol. 154, 2013, pp. 129 144. [22] N. Golrezaei and H. Nazerzadeh, ‘‘Pricing schemes for metropolitan trafﬁc data markets,’’ in Proc. 3rd Int. Conf. Data Manage. Technol. Appl. (DATA), 2014, pp. 266 271. [23] S. A. Fricker and Y. V. Maksimov, ‘‘","maintaining data sovereignty [21]. Golrezaei et al. discuss different pricing schemes applicable to data
markets for trafﬁc data, paying particular attention to the differences between ‘raw’ sensor data, which they
show to be less valuable, and ‘processed’ data, which is perceived as more valuable [22]. Finally, Fricker et
al. performed a struc tured literature review with snowballing and provide the most extensive overview of
pricing data products in the academic literature on data markets [23]. They identify fourteen differ ent
approaches and evaluate each of these on functionality, context and

... [另一次引用] ...

ated with it. Finally, we note that the data consumer is not the only role with requirements as the data
provider can also expect to be somehow rewarded for the exchange. As was previously noted in the introduction,
the price determination problem has already been extensively covered in other works [22], [23]. However, other
mechanisms for rewarding data providers can VOLUME 10, 2022 33139 S. W. Driessen et al.: Data Market Design:
Systematic Literature Review also be considered, such as services [64], [91] or company rewards for internal
data markets [33], [94]. 3) DATA GOVERNANCE Data governance

... [另一次引用] ...

merg. Telecommun. Technol., vol. 28, no. 1, p. e3125, Jan. 2017. [21] A. Muschalle, F. Stahl, A. Löser, and G.
Vossen, ‘‘Pricing approaches for data markets,’’ in Proc. Int. Workshop Bus. Intell. Real Time Enterprise, in
Lecture Notes in Business Information Processing, vol. 154, 2013, pp. 129 144. [22] N. Golrezaei and H.
Nazerzadeh, ‘‘Pricing schemes for metropolitan trafﬁc data markets,’’ in Proc. 3rd Int. Conf. Data Manage.
Technol. Appl. (DATA), 2014, pp. 266 271. [23] S. A. Fricker and Y. V. Maksimov, ‘‘",Discussion,0.85,0.9,0.9,??????????? section????????????????? Other?,,,
S003,W4377865288->W2910976764,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",Nonrivalry and the Economics of Data,"omputing researchers to explore potential implications of treating user activities as labor via simulations [10]. For example, Jones and Tonetti simulated how granting users rights to the data they produce and allowing the data to be used across firms can maximize social gains from the data economy [39]. Others have taken a step further and recommended establishing third party intermediaries that are analogous to labor unions to facilitate the relations between subgroups of users and technology companies [10, 42]. In a similar vein, practitioners have piloted applications and platforms that allow

... [另一次引用] ...

2016. Not at Home on the Range: Peer Production and the Urban/Rural Divide. In Proceedings of the 2016 CHI Con ference on Human Factors in Computing Systems (San Jose, California, USA) (CHI ’16). Association for Computing Machinery, New York, NY, USA, 13 25. https://doi.org/10.1145/2858036.2858123 [39] Charles I Jones and Christopher Tonetti. 2020.","omputing researchers to explore potential implications of treating user activities as labor via simulations
[10]. For example, Jones and Tonetti simulated how granting users rights to the data they produce and allowing
the data to be used across firms can maximize social gains from the data economy [39]. Others have taken a
step further and recommended establishing third party intermediaries that are analogous to labor unions to
facilitate the relations between subgroups of users and technology companies [10, 42]. In a similar vein,
practitioners have piloted applications and platforms that allow

... [另一次引用] ...

2016. Not at Home on the Range: Peer Production and the Urban/Rural Divide. In Proceedings of the 2016 CHI Con
ference on Human Factors in Computing Systems (San Jose, California, USA) (CHI ’16). Association for Computing
Machinery, New York, NY, USA, 13 25. https://doi.org/10.1145/2858036.2858123 [39] Charles I Jones and
Christopher Tonetti. 2020.",Discussion,0.85,0.9,0.9,??????????? section????????????????? Other?,,,
S004,W4210813858->W3084177365,Data Boundary and Data Pricing Based on the Shapley Value,A Survey on Data Pricing: From Economics to Data Science,"transaction industry. Big data empowers business value, leads to signiﬁcant changes, and even becomes a driving factor for business model innovation. According to the report from International Data Corporation, the worldwide revenue of big data analysis markets will grow up to $260 billion in 2022 [1]. However, using data to generate business value in many scenarios needs further improvement. For small organizations, insufﬁcient data will hinder the establishment of better models and can not meet the needs of analysis, application and decision support [2]. Recent studies and prac tices have appr

... [另一次引用] ...

ng point zi 1: Initialize SVi = 0 for i = 1, . . . , N and t = 0 2: while Convergence criteria not met do 3: t ←t + 1 4: πt: Random permutation of train data points 5: vt 0 ←V(zi, A) 6: for j ∈{1, . . . , N} do 7: if V(D) −vt j−1 < Performance Tolerance then 8: vt j = vt j−1 9: else 10: vt j = V({πt[1], . . . , πt[j]}, A) 11: end if 12: SVπt[j] ←t−1 t SVπt−1[j] + 1 t (vt j −vt j−1) 13: end for 14: end while • Monotonicity: Given a function f : (R+)k →R+, it is monotone if and only if for any two vectors x, y ∈ (R+)k : x ≤y, we have f (x) ≤f (y); • Subadditivity: Given a function f : (R+)k →R+, it

... [另一次引用] ...

ods according to real time demand. It is necessary to explore the dynamic pricing mechanism with the utilize of machine learning. Finally, there is only one broker in our market, but multiple brokers co exist in practical applications, and the versions of models can be further optimized. REFERENCES [1] J. Y. Cheng and P. W. Dong, ‘‘Thinking of corporation ﬁnancial manage ment innovation in the era of big data,’’ in Proc. Int. Conf. Manage. Sci. Manage. Innov. Paris, France: Atlantis Press, 2015, pp. 450 455. [2] R. Raskar, P. Vepakomma, T. Swedish, and A. Sharan, ‘‘Data mar kets to support AI for","transaction industry. Big data empowers business value, leads to signiﬁcant changes, and even becomes a
driving factor for business model innovation. According to the report from International Data Corporation, the
worldwide revenue of big data analysis markets will grow up to $260 billion in 2022 [1]. However, using data
to generate business value in many scenarios needs further improvement. For small organizations, insufﬁcient
data will hinder the establishment of better models and can not meet the needs of analysis, application and
decision support [2]. Recent studies and prac tices have appr

... [另一次引用] ...

ng point zi 1: Initialize SVi = 0 for i = 1, . . . , N and t = 0 2: while Convergence criteria not met do 3: t
←t + 1 4: πt: Random permutation of train data points 5: vt 0 ←V(zi, A) 6: for j ∈{1, . . . , N} do 7: if V(D)
−vt j−1 < Performance Tolerance then 8: vt j = vt j−1 9: else 10: vt j = V({πt[1], . . . , πt[j]}, A) 11: end
if 12: SVπt[j] ←t−1 t SVπt−1[j] + 1 t (vt j −vt j−1) 13: end for 14: end while • Monotonicity: Given a
function f : (R+)k →R+, it is monotone if and only if for any two vectors x, y ∈ (R+)k : x ≤y, we have f (x)
≤f (y); • Subadditivity: Given a function f : (R+)k →R+, it

... [另一次引用] ...

ods according to real time demand. It is necessary to explore the dynamic pricing mechanism with the utilize
of machine learning. Finally, there is only one broker in our market, but multiple brokers co exist in
practical applications, and the versions of models can be further optimized. REFERENCES [1] J. Y. Cheng and P.
W. Dong, ‘‘Thinking of corporation ﬁnancial manage ment innovation in the era of big data,’’ in Proc. Int.
Conf. Manage. Sci. Manage. Innov. Paris, France: Atlantis Press, 2015, pp. 450 455. [2] R. Raskar, P.
Vepakomma, T. Swedish, and A. Sharan, ‘‘Data mar kets to support AI for",Discussion,0.6,0.7,0.85,??????????? section????????????????? Other?,,,
S005,W3202603574->W2974598553,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution",Too Much Data: Prices and Inefficiencies in Data Markets,"e productivity and output; (2) what are the possible effects on the functional income distribution, i.e. how are profits, wages and digital skill premia affected; and (3) what could be possible policy responses? 1 Combined, the four companies Google, Amazon, Facebook and Apple reach a market capitalisa tion value of nearly $5.5 trillion in November 2020 entailing nearly 40% growth up from $4 trillion in December 2019 and a 50% growth on average since March 2020.Yahoo Finance; https://​www.​techc​han nel.​news/​11/​11/​2020/​market ​cap ​of ​big ​five ​tech ​compa​nies ​surge ​46 ​to 7 ​1tr ​so ​far ​this ​year/; https://​ compa​niesm​arket​cap.​com/​tech/​large​st ​tech ​compa​nies ​by ​market ​cap/ and https:/

... [另一次引用] ...

erial capital. This may explain the growing productivity divide between fron tier firms and laggards (see e.g. Berlingieri et al. 2020; Andrews et al. 2018). Also, (b) being a general purpose technology,4 a critical mass of ICT penetration may be required before aggregate productivity gains materialise. (Anderton et al. 2020; Brynjolfsson et al. 2019; Cardona et al. 2013). Van Ark et al. (2019) point to above average contributions to productivity growth from the most ICT intensive industries. A finding very relevant for our paper is that the concentration of activity in the most productive firms (‘superstar firms’) drives not only an increase i

... [另一次引用] ...

eign competition, domestic labour demand may increase across skills groups (Aghion et al. 2019). Different manifestations of ICT may have different effects. Acemoglu and Restrepo (2017) find that industrial robots reduce employment, while other forms of ICT do not. Similarly, based on a survey of Swiss firms, Balsmeier and Woerter (2019) observe increases (decreases) in the demand for high skilled (low skilled) workers related to ICT. These effects largely stem from machine based ICT such as robots, but not from e commerce. 575 COVID 19 acceleration in digitalisation, aggregate… 1 3 High skills are an important asset but to reap t","e productivity and output; (2) what are the possible effects on the functional income distribution, i.e. how
are profits, wages and digital skill premia affected; and (3) what could be possible policy responses? 1
Combined, the four companies Google, Amazon, Facebook and Apple reach a market capitalisa tion value of nearly
$5.5 trillion in November 2020 entailing nearly 40% growth up from $4 trillion in December 2019 and a 50%
growth on average since March 2020.Yahoo Finance; https://​www.​techc​han nel.​news/​11/​11/​2020/​market ​cap
​of ​big ​five ​tech ​compa​nies ​surge ​46 ​to 7 ​1tr ​so ​far ​this ​year/; https://​
compa​niesm​arket​cap.​com/​tech/​large​st ​tech ​compa​nies ​by ​market ​cap/ and https:/

... [另一次引用] ...

erial capital. This may explain the growing productivity divide between fron tier firms and laggards (see e.g.
Berlingieri et al. 2020; Andrews et al. 2018). Also, (b) being a general purpose technology,4 a critical mass
of ICT penetration may be required before aggregate productivity gains materialise. (Anderton et al. 2020;
Brynjolfsson et al. 2019; Cardona et al. 2013). Van Ark et al. (2019) point to above average contributions to
productivity growth from the most ICT intensive industries. A finding very relevant for our paper is that the
concentration of activity in the most productive firms (‘superstar firms’) drives not only an increase i

... [另一次引用] ...

eign competition, domestic labour demand may increase across skills groups (Aghion et al. 2019). Different
manifestations of ICT may have different effects. Acemoglu and Restrepo (2017) find that industrial robots
reduce employment, while other forms of ICT do not. Similarly, based on a survey of Swiss firms, Balsmeier and
Woerter (2019) observe increases (decreases) in the demand for high skilled (low skilled) workers related to
ICT. These effects largely stem from machine based ICT such as robots, but not from e commerce. 575 COVID 19
acceleration in digitalisation, aggregate… 1 3 High skills are an important asset but to reap t",Discussion,0.25,0.65,0.85,??????????? section????????????????? Other?,,,
S006,W3186955607->W2018362551,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,The challenges of personal data markets and privacy,"roving treat ment quality, preventive care, and diagnostics [13]. Hence, research about incentive systems to trigger a large and diverse group of users to share their data for R&D purposes is essential. Bataineh et al. criticized the market for personal data because it shows a significant imbalance [15]. App users are currently not compensated for the provision of their data, and the authors further criticized the lack of an adequate platform to monetize and trade self tracked data [15]. The question about the compensation that people are willing to accept remains unsolved. This is despite the fac

... [另一次引用] ...

s is essential. Bataineh et al. criticized the market for personal data because it shows a significant imbalance [15]. App users are currently not compensated for the provision of their data, and the authors further criticized the lack of an adequate platform to monetize and trade self tracked data [15]. The question about the compensation that people are willing to accept remains unsolved. This is despite the fact that there have already been some research attempts at answering this ques tion, as described in the following section. However, an SADR study, i.e. a well aligned, trade off based appr","roving treat ment quality, preventive care, and diagnostics [13]. Hence, research about incentive systems to
trigger a large and diverse group of users to share their data for R&D purposes is essential. Bataineh et al.
criticized the market for personal data because it shows a significant imbalance [15]. App users are currently
not compensated for the provision of their data, and the authors further criticized the lack of an adequate
platform to monetize and trade self tracked data [15]. The question about the compensation that people are
willing to accept remains unsolved. This is despite the fac

... [另一次引用] ...

s is essential. Bataineh et al. criticized the market for personal data because it shows a significant
imbalance [15]. App users are currently not compensated for the provision of their data, and the authors
further criticized the lack of an adequate platform to monetize and trade self tracked data [15]. The question
about the compensation that people are willing to accept remains unsolved. This is despite the fact that there
have already been some research attempts at answering this ques tion, as described in the following section.
However, an SADR study, i.e. a well aligned, trade off based appr",Discussion,-0.8,0.9,0.9,??????????? section????????????????? Other?,,,
S007,W2956647116->W2790400697,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,"A Survey on Big Data Market: Pricing, Trading and Protection","I. INTRODUCTION As many new technologies are integrated into our daily life, such as the mobile and the social network applications, and the smart systems based on the Internet of Things (IoT) (smart home, smart city, smart transportation, smart grid, etc.), a large amount of data will be collected [1]. We have entered the era of big data, the data sharing and trading is the trend of the times and the inevitable demand of the market. As people pay more and more attention to the economic value of big data in improving the utility efficiency and the decision making, the customer experience and othe

... [另一次引用] ...

resale contract is the solution to the problem of data resale, but signing a contract can not eliminate the problem of data resale. Therefore, we can design a smart contract to ensure that data will not be resold after sale, which will be the direction of further research in the future. REFERENCES [1] F. Liang, W. Yu, D. An, et al., “","I. INTRODUCTION As many new technologies are integrated into our daily life, such as the mobile and the social
network applications, and the smart systems based on the Internet of Things (IoT) (smart home, smart city,
smart transportation, smart grid, etc.), a large amount of data will be collected [1]. We have entered the era
of big data, the data sharing and trading is the trend of the times and the inevitable demand of the market.
As people pay more and more attention to the economic value of big data in improving the utility efficiency
and the decision making, the customer experience and othe

... [另一次引用] ...

resale contract is the solution to the problem of data resale, but signing a contract can not eliminate the
problem of data resale. Therefore, we can design a smart contract to ensure that data will not be resold after
sale, which will be the direction of further research in the future. REFERENCES [1] F. Liang, W. Yu, D. An, et
al., “",Introduction,0.85,0.9,0.95,??????????? section????????????????? Other?,,,
S008,W2790400697->W2533772775,"A Survey on Big Data Market: Pricing, Trading and Protection",A pricing model for Big Personal Data,"Furthermore, with the advance ment of data analytics provided by machine learning and data mining techniques, and the computing capabilities supported by cloud and edge computing infrastructures, the potential values of the generated big data become more impressive [8], [9], [10], [11], [12], [13], [14]. Thus, big data is the impetus of the next waves of productivity growth. Nonetheless, there are a number of signiﬁcant challenges, including data collection, storage, analysis, sharing, updating, and others. To maximize the utility of the data collected, one viable solution is to design an effectiv

... [另一次引用] ...

g others. In addition, the data can have unstructured data types (images, video and audio streams, etc.). Thus, big data is massive, continuous, and comprehensive, and has a high potential commercial value thanks to advances in data analytic techniques, such as machine learning and data mining [9], [14]. Fig. 1: Three V of Big Data Notice that the terms data mining and Business Intelligence (BI) [25] are often used interchangeably to describe the 2169 3536 (c) 2018 IEEE. Translations and content mining are permitted for academic research only. Personal use is also permitted, but republication/redi

... [另一次引用] ...

ion awareness,” in 2013 IEEE Conference on Communications and Network Security (CNS), Oct 2013, pp. 488 492. [13] N. D. Nguyen, T. Nguyen, and S. Nahavandi, “System design per spective for human level agents using deep reinforcement learning: A survey,” IEEE Access, vol. 5, pp. 27 091 27 102, 2017. [14] H. He and E. A. Garcia, “Learning from imbalanced data,” IEEE Transactions on Knowledge and Data Engineering, vol. 21, no. 9, pp. 1263 1284, Sept 2009. [15] P. Lewis, “An ”all you can eat” price is clogging internet access,” New York Times. December, vol. 17, p. A1, 1996. [16] Y. Shen, B. Guo, Y. S","Furthermore, with the advance ment of data analytics provided by machine learning and data mining techniques,
and the computing capabilities supported by cloud and edge computing infrastructures, the potential values of
the generated big data become more impressive [8], [9], [10], [11], [12], [13], [14]. Thus, big data is the
impetus of the next waves of productivity growth. Nonetheless, there are a number of signiﬁcant challenges,
including data collection, storage, analysis, sharing, updating, and others. To maximize the utility of the
data collected, one viable solution is to design an effectiv

... [另一次引用] ...

g others. In addition, the data can have unstructured data types (images, video and audio streams, etc.).
Thus, big data is massive, continuous, and comprehensive, and has a high potential commercial value thanks to
advances in data analytic techniques, such as machine learning and data mining [9], [14]. Fig. 1: Three V of
Big Data Notice that the terms data mining and Business Intelligence (BI) [25] are often used interchangeably
to describe the 2169 3536 (c) 2018 IEEE. Translations and content mining are permitted for academic research
only. Personal use is also permitted, but republication/redi

... [另一次引用] ...

ion awareness,” in 2013 IEEE Conference on Communications and Network Security (CNS), Oct 2013, pp. 488 492.
[13] N. D. Nguyen, T. Nguyen, and S. Nahavandi, “System design per spective for human level agents using deep
reinforcement learning: A survey,” IEEE Access, vol. 5, pp. 27 091 27 102, 2017. [14] H. He and E. A. Garcia,
“Learning from imbalanced data,” IEEE Transactions on Knowledge and Data Engineering, vol. 21, no. 9, pp. 1263
1284, Sept 2009. [15] P. Lewis, “An ”all you can eat” price is clogging internet access,” New York Times.
December, vol. 17, p. A1, 1996. [16] Y. Shen, B. Guo, Y. S",Introduction,0.85,0.9,0.9,??????????? section????????????????? Other?,,,
S009,W2508874533->W2010653253,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,A survey of smart data pricing,"2019, and mobile video trafﬁc will account for 72% of the total mobile data trafﬁc by 2019 [1]. It will be enormous strain on already overburdened mobile networks to meet this big multimedia data demand, which drives mobile network operators to innovate new pricing schemes. Smart data pricing (SDP) [2] is likely to emerge as an effective way to inﬂuence the user behavior in utilizing network resources. However, multimedia smart pricing has largely been ignored in literature. In this paper, we propose a fundamentally new framework named Smart Media Pricing (SMP) to allocate different prices to dif

... [另一次引用] ...

e State Scholarship Fund. REFERENCES [1] Cisco, Cisco Visual Networking Index, “Global mobile data traf ﬁc forecast update 2014 2019. white paper c11 520862,” Avail able on http://www. cisco. com/c/en/us/solutions/collateral/service provider/visual networking index vni/white paper c11 520862. html. [2] S. Sen, C. Joe Wong, S. Ha, and M. Chiang, “Smart data pricing (SDP): economic solutions to network congestion,” ACM SIGCOMM Recent Advances in Networking, pp. 221 274, 2013. [3] A. Mas Colell, M. D. Whinston, J. R. Green et al., Microeconomic theory. Oxford university press New York, 1995, vol. 1.","2019, and mobile video trafﬁc will account for 72% of the total mobile data trafﬁc by 2019 [1]. It will be
enormous strain on already overburdened mobile networks to meet this big multimedia data demand, which drives
mobile network operators to innovate new pricing schemes. Smart data pricing (SDP) [2] is likely to emerge as
an effective way to inﬂuence the user behavior in utilizing network resources. However, multimedia smart
pricing has largely been ignored in literature. In this paper, we propose a fundamentally new framework named
Smart Media Pricing (SMP) to allocate different prices to dif

... [另一次引用] ...

e State Scholarship Fund. REFERENCES [1] Cisco, Cisco Visual Networking Index, “Global mobile data traf ﬁc
forecast update 2014 2019. white paper c11 520862,” Avail able on http://www. cisco.
com/c/en/us/solutions/collateral/service provider/visual networking index vni/white paper c11 520862. html.
[2] S. Sen, C. Joe Wong, S. Ha, and M. Chiang, “Smart data pricing (SDP): economic solutions to network
congestion,” ACM SIGCOMM Recent Advances in Networking, pp. 221 274, 2013. [3] A. Mas Colell, M. D. Whinston,
J. R. Green et al., Microeconomic theory. Oxford university press New York, 1995, vol. 1.",Introduction,0.85,0.9,0.9,??????????? section????????????????? Other?,,,
S010,W2906578628->W2473283431,The Internet of Things: A Review of Enabled Technologies and Future Challenges,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,"sid erable modiﬁcations since its early times and has turned out to be an imperative transmission framework aiming at everywhere and every time connectivity [1]. The Internet of Things (IoT) is a new concept permitting billions of tiny machines, for example, sensors, to be connected to the Internet [2], [3]. With the Internet growth, IoT has carried out an impressive effect to several ﬁelds and there have been numerous IoT applications employed for enhancing the network operation and users’ quality of experience. These applications can be employed in the following areas: health care, industries,

... [另一次引用] ...

were also discussed for the intuition of the IoT acceptability. REFERENCES [1] M. Elsaadany, A. Ali, and W. Hamouda, “Cellular lte a technologies for the future internet of things: Physical layer features and challenges,” IEEE Communications Surveys & Tutorials, vol. 19, no. 4, pp. 2544 2572, 2017. [2] F. Wang and J. Liu, “Networked wireless sensor data collection: issues, challenges, and approaches,” IEEE Communications Surveys & Tutori als, vol. 13, no. 4, pp. 673 687, 2011. [3] N. C. Luong, D. T. Hoang, P. Wang, D. Niyato, D. I. Kim, and Z. Han, “","sid erable modiﬁcations since its early times and has turned out to be an imperative transmission framework
aiming at everywhere and every time connectivity [1]. The Internet of Things (IoT) is a new concept permitting
billions of tiny machines, for example, sensors, to be connected to the Internet [2], [3]. With the Internet
growth, IoT has carried out an impressive effect to several ﬁelds and there have been numerous IoT
applications employed for enhancing the network operation and users’ quality of experience. These applications
can be employed in the following areas: health care, industries,

... [另一次引用] ...

were also discussed for the intuition of the IoT acceptability. REFERENCES [1] M. Elsaadany, A. Ali, and W.
Hamouda, “Cellular lte a technologies for the future internet of things: Physical layer features and
challenges,” IEEE Communications Surveys & Tutorials, vol. 19, no. 4, pp. 2544 2572, 2017. [2] F. Wang and J.
Liu, “Networked wireless sensor data collection: issues, challenges, and approaches,” IEEE Communications
Surveys & Tutori als, vol. 13, no. 4, pp. 673 687, 2011. [3] N. C. Luong, D. T. Hoang, P. Wang, D. Niyato, D.
I. Kim, and Z. Han, “",Introduction,0.85,0.9,0.9,??????????? section????????????????? Other?,,,
