Clean_ID,Publication_Year,Title
W3111554765,2009,Optimal Sticky Prices under Rational Inattention
W2910976764,2020,Nonrivalry and the Economics of Data
W2473283431,2016,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey
W2790400697,2018,"A Survey on Big Data Market: Pricing, Trading and Protection"
W2018362551,2015,The challenges of personal data markets and privacy
W2010653253,2013,A survey of smart data pricing
W2097281067,2012,TUBE
W4226382147,2022,"Smartphone App Usage Analysis: Datasets, Methods, and Applications"
W2293940046,2015,Query-Based Data Pricing
W3084177365,2020,A Survey on Data Pricing: From Economics to Data Science
W2759182208,2017,Pricing privacy – the right to know the value of your personal data
W2045522464,2015,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment
W3209462287,2022,Regulatory Spillovers and Data Governance: Evidence from the GDPR
W2581979418,2017,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing
W2168402580,2012,Query-based data pricing
W2289113545,2016,Smart data pricing models for the internet of things: a bundling strategy approach
W1841962286,2013,A Priced Public Sensing Framework for Heterogeneous IoT Architectures
W2743929098,2017,Data pricing strategy based on data quality
W2067195421,2014,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example
W4323644227,2023,A Survey of Data Pricing for Data Marketplaces
W3040491562,2020,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service
W3014121762,2020,Advancing Data Monetization and the Creation of Data-based Business Models
W3215634159,2021,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G
W4243417153,2015,Selling Cookies
W2533772775,2016,A pricing model for Big Personal Data
W2734426755,2017,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets
W2921968831,2019,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces
W2612128091,2017,QIRANA
W2996741051,2019,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects
W2180742472,2015,Smart data pricing
W2919782326,2019,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy
W2126626399,2013,The Price Is Right
W2342966760,2015,Time and Location Aware Mobile Data Pricing
W2765365501,2017,Pricing of Data Products in Data Marketplaces
W2920282816,2019,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective
W3121615946,2020,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach
W1994174199,2014,Smart data pricing: To share or not to share?
W2327152018,2015,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs
W3021370403,2020,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing
W1998665878,2015,When Network Effect Meets Congestion Effect
W2916829860,2019,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets
W2310916783,2017,Marketplaces for Digital Data: Quo Vadis?
W1777686370,2005,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence
W2974598553,2019,Too Much Data: Prices and Inefficiencies in Data Markets
W3124517880,2009,Optimal Sticky Prices under Rational Inattention
W3123243120,2019,Nonrivalry and the Economics of Data
W2150449738,2004,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness
W3096125752,2020,Data Sharing and Market Power with Two-Sided Platforms
W3008256197,2020,The Effect of Privacy Regulation on the Data Industry: Empirical Evidence from GDPR
W2950902070,2012,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends"
W3117086259,2020,"Fintech: what’s old, what’s new?"
W2982407593,2019,Trading Private Range Counting over Big IoT Data
W2906578628,2018,The Internet of Things: A Review of Enabled Technologies and Future Challenges
W4288391541,2022,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects"
W2956647116,2019,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning
W3113404185,2020,Blockchain Based Data and Energy Trading in Internet of Electric Vehicles
W4390728454,2024,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems
W4293428560,2022,Adoption of Federated Learning for Healthcare Informatics: Emerging Applications and Future Directions
W4360991875,2023,The Economics of Digital Privacy
W4226305897,2021,Business Data Sharing through Data Marketplaces: A Systematic Literature Review
W4312395603,2022,Shaping future low-carbon energy and transportation systems: Digital technologies and applications
W2942073230,2019,Big Data Market Optimization Pricing Model Based on Data Quality
W4288685807,2022,New and emerging forms of data and technologies: literature and bibliometric review
W3195579788,2022,Data pricing in machine learning pipelines
W3206864493,2021,Embedding European values in data governance: a case for public data commons
W4284704402,2022,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions"
W4220901737,2022,Data Market Design: A Systematic Literature Review
W4388068877,2023,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms
W4281710558,2022,Blockchain for Future Wireless Networks: A Decade Survey
W4319769514,2023,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing"
W4281293246,2022,Business model archetypes for data marketplaces in the automotive industry
W4322604225,2023,Data and Markets
W4377287661,2023,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems
W4386021011,2023,What is the value of data? A review of empirical methods
W3002742063,2020,Monetization of Services Provided by Public Fog Nodes Using Blockchain and Smart Contracts
W2994622980,2019,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things
W2993467838,2019,Evaluation of big data frameworks for analysis of smart grids
W3202764263,2022,Regression markets and application to energy forecasting
W3021125948,2020,Contract Design in Hierarchical Game for Sponsored Content Service Market
W3089176333,2020,Towards Query Pricing on Incomplete Data
W3202603574,2021,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution"
W2954543879,2019,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells
W4220799794,2022,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects
W4377865288,2023,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers"
W3210061505,2021,Personal big data pricing method based on differential privacy
W4210813858,2022,Data Boundary and Data Pricing Based on the Shapley Value
W4382600626,2023,"We, the Data"
W2734445852,2017,A First Look at Information Entropy-Based Data Pricing
W2508874533,2016,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications
W2758203152,2017,Incentivizing self-capping to increase cloud utilization
W2509511072,2016,Understanding rollover data
W2934375453,2019,Personal Data Market Optimization Pricing Model Based on Privacy Level
W1516789636,2007,Debt Sustainability and Procyclical Fiscal Policies in Latin America
W2123954539,2010,Microeconomic Evidence on Price-Setting
W3127298136,2021,A Model of the Data Economy
W3121561769,2020,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR
W2011238498,2009,Accounting for Incomplete Pass-Through
W2156471581,2007,Prices and Market Shares in a Menu Cost Model
W2166180954,2008,Temporary Price Changes and the Real Effects of Monetary Policy
W4289544372,2022,The value of data in digital-based business models: Measurement and economic policy implications
W2514159439,2016,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach
W2190764372,2015,Prospect Pricing in Cognitive Radio Networks
W4385311348,2023,Evolving deep gated recurrent unit using improved marine predator algorithm for profit prediction based on financial accounting information system
W4310251148,2022,Data monetization: insights from a technology-enabled literature review and research agenda
W3186955607,2021,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment
