edge_id,source_id,target_id,citing_paper_title,cited_paper_title,old_alignment_status,candidate_alignment_status,target_reference_marker,target_reference_entry,reference_match_method,reference_match_score,all_target_aligned_contexts,candidate_alignment_note,human_alignment_status,human_reference_marker_confirmed,human_note
W4226305897->W2919782326,W4226305897,W2919782326,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,failed,high_confidence,54,"Niu, C.; Zheng, Z.; Tang, S.; Gao, X.; Wu, F. Making Big Money from Small Sensors: Trading Time-Series Data under Puffer- ﬁsh Privacy. In Proceedings of the IEEE INFOCOM 2019—IEEE Conference on Computer Communications, Paris, France, 29 April–2 May 2019.",title_compact_exact,0.99,"The studies discuss many aspects, for instance, the implementation of query pricing [ 52] and dynamic pricing considering “reserve price constraint” that helps data brokers maximize their revenue [ 53]. Another algorithm allows data price to be derived from the privacy losses [ 54]. Studies in query-based pricing mechanisms consider many cases such as query interfaces for mobile crowd-sensed data [ 55,56], cloud-based data mar- ketplaces with possibilities to share cloud resources [ 57], spatial data [ 58], aggregated data from multiple distributed system [ 59], and data acquired from Application Programming Interfaces (APIs) [ 60].",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,54,
W3195579788->W2473283431,W3195579788,W2473283431,Data pricing in machine learning pipelines,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,failed,high_confidence,71,"Luong NC, Hoang DT, Wang P, Niyato D, Kim DI, Han Z (2016) Data collection and wireless communi- cation in internet of things (IoT) using economic analysis and pricing models: a survey. IEEE CommunSurv Tutor 18(4):2546–2590",title_compact_exact,0.99,"This strategy is adopted in personal data pricing, where thecost is the total privacy compensation to data owners [ 84]. A disadvantage of the cost-based pricing strategy is that it only considers internal factors in determining the selling price.External factors, such as competition and demands, are not included [ 71]. Customer value-based pricing determines the price of a product primarily based on how much the target customers believe a product is worth [ 27].

... [another target-aligned mention] ...

Customer value-based pricing determines the price of a product primarily based on how much the target customers believe a product is worth [ 27]. To apply customer value-based pricing, a seller needs to estimate customers’ demands for a product through their willingnessand affordability [ 71]. Customer value-based pricing is the most popularly used strategy for data pricing.

... [another target-aligned mention] ...

Game theory provides a powerful tool to implement the strategy. In a non-cooperative game, every seller is selﬁsh and sets theprice that maximizes the seller’s proﬁt independently [ 71]. The competition result, that is the asking price of each seller, is the Nash equilibrium [ 80].",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,71,
W3084177365->W2974598553,W3084177365,W2974598553,A Survey on Data Pricing: From Economics to Data Science,Too Much Data: Prices and Inefficiencies in Data Markets,failed,high_confidence,[3],"D. Acemoglu, A. Makhdoumi, A. Malekian, and A. Ozdaglar, “Too Much Data: Prices and Inefﬁciencies in Data Markets,” Na- tional Bureau of Economic Research, Inc, NBER Working Papers 26296, Sep. 2019.",title_compact_exact,0.99,"Recently, Acemoglu et al. [3] present an insightful study on the ecological effect of data markets. They demonstrate that a user’s sharing of data may likely reveal some other users’ privacy and depress the price of other users’ data.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[3],
W3084177365->W2919782326,W3084177365,W2919782326,A Survey on Data Pricing: From Economics to Data Science,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,failed,high_confidence,[161],"C. Niu, Z. Zheng, S. Tang, X. Gao, and F. Wu, “Making big money from small sensors: Trading time-series data under pufferﬁsh privacy,” in IEEE INFOCOM 2019 - IEEE Conference on Computer Communications, April 2019, pp. 568–576.",title_compact_exact,0.99,Niu et al. [161] further extend to time series data that may have temporal correlations. They adopt Pufferﬁsh privacy [117] to measure privacy losses under temporal correlations.,Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[161],
W3089176333->W2743929098,W3089176333,W2743929098,Towards Query Pricing on Incomplete Data,Data pricing strategy based on data quality,failed,high_confidence,[25],"H. Yu and M. Zhang, “Data pricing strategy based on data qual- ity,” Computers & Industrial Engineering, vol. 112, pp. 1–10, 2017.",title_compact_exact,0.99,"6. κ(Q,D) =∑m i=1(∑ t∈T∗ iϵ(t) +∑ t∈Ta iϵ(t)) ∑m i=1(|T∗ i|+|Ta i|)(6) The newly presented quality function κtakes into ac- count the speciﬁc operator, which is different from the simple quality of counting the missing rate on the entire dataset [24], [25]. It provides a new way to measure the query quality over incomplete data.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[25],
W3089176333->W2919782326,W3089176333,W2919782326,Towards Query Pricing on Incomplete Data,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,failed,high_confidence,[47],"C. Niu, Z. Zheng, S. Tang, X. Gao, and F. Wu, “Making big money from small sensors: Trading time-series data under pufferﬁsh privacy,” in INFOCOM, pp. 568–576, 2019.",title_compact_exact,0.99,"This group consists of pricing generalized chain queries (i.e., a special type of join conjunctive query when the base queries are only selection queries) [14], [42] and pricing SQL queries [13], [16]. There are some efforts on revenue maximizing arbitrage-free pricing [19], [43], [44], the pricing problem for trading time series data and personal data [45], [46], [47], [48], pricing queries while protecting the seller’s privacy [49], [50] or in cloud environments [51]. In contrast, another kind of pricing scheme considers the tuples of relations as the structural granularity of the pricing function [15], [26], [52], [53].",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[47],
W4220901737->W2765365501,W4220901737,W2765365501,Data Market Design: A Systematic Literature Review,Pricing of Data Products in Data Marketplaces,failed,high_confidence,[23],"S. A. Fricker and Y. V. Maksimov, ``Pricing of data products in data mar- ketplaces,'' in Proc. Int. Conf. Softw. Bus., in Lecture Notes in Business Information Processing, vol. 304, 2017, pp. 4966.",title_compact_exact,0.99,"Finally, Fricker et al. performed a struc- tured literature review with snowballing and provide the most extensive overview of pricing data products in the academic literature on data markets [23]. They identify fourteen differ- ent approaches and evaluate each of these on functionality, context and maturity.

... [another target-aligned mention] ...

[1] and describes the relation of the actor who provides the data market to that of the data provider and data consumer. As will be discussed in section IV the question of who operates the data market has far-reaching consequences for the way a data market operates; for example: if the data provider is also the platform owner, it is easier for them to make sure all data is provided in a standard format and to set a price for the data product(s) provided [21], [23]. First, the quality of a data product has a service-level facet, which consists of extra-functional properties usually described in a service-level agreement (SLA), such as the availability of the data product and the responsibilities of the data provider and the data consumer [49].

... [another target-aligned mention] ...

If a work appears to t any of these criteria based on its title, abstract and keywords, it is included in our nal selection. Finally, since existing meta-research on data markets has already covered different types of pricing mechanisms [21][23], we excluded those works whose main contribu- tion, based on their abstract, concerns pricing mechanisms. B.

... [another target-aligned mention] ...

Finally, we note that the data consumer is not the only role with requirements as the data provider can also expect to be somehow rewarded for the exchange. As was previously noted in the introduction, the price determination problem has already been extensively covered in other works [22], [23]. However, other mechanisms for rewarding data providers can VOLUME 10, 2022 33139 S.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[23],
W2473283431->W1841962286,W2473283431,W1841962286,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,failed,high_confidence,[106],"A. E. Al-Fagih, F. M. Al-Turjman, W. M. Alsalih, and H. S. Hassanein, “A priced public sensing framework for heterogeneous iot architec- tures,” IEEE Transactions on Emerging Topics in Computing, vol. 1, no. 1, pp. 133–147, 2013.",title_compact_exact,0.99,"Thus, the authors in [105] adopted the sealed- bid reverse auction to address the routing problem in WSNs with the aim of minimizing the latency and maximizing the network throughput for all applications. In fact, the latency is also closely related to the energy efﬁciency since a data packet with a large delay due to traveling more hops in the network consumes more energy [106]. The model consists of a router, i.e., a buyer, who selects one of its neighbors, i.e., sellers, as the next hop for the packet delivery.

... [another target-aligned mention] ...

Different from the reverse auction which deﬁnes the lowest price among sellers, the value-based pricing sets price primarily based on the perceived value to the buyer rather than the cost of the product, the market price, or even the historical prices. The authors in [106] employed the value-based pricing to set the data selling price for the sensors, i.e., sellers, according to the requirements of the requester, i.e., the buyer. The general model includes entities as shown in Fig.

... [another target-aligned mention] ...

Citation information: DOI 10.1109/COMST.2016.2582841, IEEE Communications Surveys & Tutorials 17 TABLE II APPLICATIONS OF ECONOMIC AND PRICING MODELS FOR DATA AGGREGATION AND ROUTING Ref. Pricing modelMarket structureMechanism Objective SolutionSeller Buyer ItemData aggregation and routing[103]Sealed-bid reverse auctionSelﬁsh sensorsFusion centerTarget localization dataSellers submit to the auctioneer their ask values inversely proportional to the remaining energy, the auctioneer selects an optimal subset of sellers with the lowest ask valuesEnergy consumption balance, and buyer’s utility maximizationNash equilibrium [105]Sealed-bid reverse auctionNeighboring sensorsRouterPacket forwarding serviceSellers submit to the buyer their asks including the path price, the buyer selects a seller with the lowest path priceOverall minimal delay, and network throughput maximizationNash equilibrium [106]Value-based pricingThe sink nodeRequesterPacket forwarding serviceSeller sets prices according to the requester’s requirements to maximize the utility of the requesterBuyer’s utility maximizationValue optimization [113]Sealed-bid reverse auctionPhone usersServerSensing dataSellers submit their asking prices including the task execution costs to the buyer, the buyer selects a subset of sellers with the lowest asking prices and gives them rewards. The losers also get virtual credit for incentiveService quality guarantee, incentive cost minimization, improved fairness, and social welfare improvementNash equilibrium [115]Sealed-bid reverse auctionPhone usersServerSensing dataSame as [113] but the buyer adds a recruiting mechanism to stimulate the dropped users to join in the futureService quality guarantee, incentive cost minimization, improved fairness, and social welfare improvementNash equilibrium [117]Sealed-bid reverse auctionPhone usersServerSensing dataSame as [113] but the buyer pays the users by monetary instead of the virtual creditIncentive improvementNash equilibrium [118] [119]Sealed-bid reverse auctionPhone usersServerSensing dataSellers submit their asks including costs and their locations.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[106],
W4323644227->W2612128091,W4323644227,W2612128091,A Survey of Data Pricing for Data Marketplaces,QIRANA,failed,high_confidence,[55],"——, “Qirana: A framework for scalable query pricing,” in Pro- ceedings of the 2017 ACM International Conference on Management of Data, ser. SIGMOD’17. New York, NY, USA: Association for Computing Machinery, 2017, pp. 699–713.",title_compact_exact,0.99,"Many theoretical methods are not scalable in practice. Qirana [55], [56] is a system for query-based pricing, which allows data sellers to choose from a set of pricing functions that are information arbitrage-free, which covers both post-processing arbitrage- freeness and serendipitous arbitrage-freeness in Lin and Kifer’s taxonomy [138]. Qirana also supports history-aware pricing.

... [another target-aligned mention] ...

If a buyer gets two coupons c1andc2in two different purchases such that c1[(tid;uid;v )] =c2[(tid;uid;v )], then the buyer can ask the seller for a refund by showing the two coupons. As pointed out by Deep and Koutris [55], the refund mechanism does not provide any arbitrage-free guarantee. Qirana [55], [56] can support history-aware pricing.

... [another target-aligned mention] ...

As pointed out by Deep and Koutris [55], the refund mechanism does not provide any arbitrage-free guarantee. Qirana [55], [56] can support history-aware pricing. To incorporate a query history, suppose a buyer already purchases queries Q=Q1;:::;Qkand pays for a to- tal ofp(Q;D )so far.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[55],
W4323644227->W2743929098,W4323644227,W2743929098,A Survey of Data Pricing for Data Marketplaces,Data pricing strategy based on data quality,failed,high_confidence,[219],"H. Yu and M. Zhang, “Data pricing strategy based on data quality,” Computers & Industrial Engineering, vol. 112, pp. 1 – 10, 2017.",title_compact_exact,0.99,"Another difﬁculty is that many data sets do not have public prices associated. Yu and Zhang [219] consider pricing multiple versions formed by multiple factors of data quality and build a two-level model. The ﬁrst level is the data platform where a single owner is assumed, who designs the number of versions.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[219],
