source_id,citing_paper_title,review_edge_count,source_pdf_status,original_pdf_name,copied_pdf_name,copied_pdf_path
W4323644227,A Survey of Data Pricing for Data Marketplaces,6,copied,18_A Survey on Data Pricing From Economics to Data Science.pdf,W4323644227__A_Survey_of_Data_Pricing_for_Data_Marketplaces.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W4323644227__A_Survey_of_Data_Pricing_for_Data_Marketplaces.pdf
W3084177365,A Survey on Data Pricing: From Economics to Data Science,2,copied,18_A Survey on Data Pricing From Economics to Data Science.pdf,W3084177365__A_Survey_on_Data_Pricing_From_Economics_to_Data_Science.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W3084177365__A_Survey_on_Data_Pricing_From_Economics_to_Data_Science.pdf
W3089176333,Towards Query Pricing on Incomplete Data,2,copied,Source_W3089176333.pdf,W3089176333__Towards_Query_Pricing_on_Incomplete_Data.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W3089176333__Towards_Query_Pricing_on_Incomplete_Data.pdf
W1994174199,Smart data pricing: To share or not to share?,1,copied,18_A Survey on Data Pricing From Economics to Data Science.pdf,W1994174199__Smart_data_pricing_To_share_or_not_to_share.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W1994174199__Smart_data_pricing_To_share_or_not_to_share.pdf
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,1,copied,23_Data Collection and Wireless Communication in Internet of Th.pdf,W2473283431__Data_Collection_and_Wireless_Communication_in_Internet_of_Things_IoT_Using_Econo.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W2473283431__Data_Collection_and_Wireless_Communication_in_Internet_of_Things_IoT_Using_Econo.pdf
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,1,copied,Source_W2514159439.pdf,W2514159439__Big_Data_Driven_Mobile_Traffic_Understanding_and_Forecasting_A_Time_Series_Appro.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W2514159439__Big_Data_Driven_Mobile_Traffic_Understanding_and_Forecasting_A_Time_Series_Appro.pdf
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,1,copied,Source_W2942073230.pdf,W2942073230__Big_Data_Market_Optimization_Pricing_Model_Based_on_Data_Quality.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W2942073230__Big_Data_Market_Optimization_Pricing_Model_Based_on_Data_Quality.pdf
W2954543879,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,1,copied,Source_W2954543879.pdf,W2954543879__Iris_Deep_Reinforcement_Learning_Driven_Shared_Spectrum_Access_Architecture_for.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W2954543879__Iris_Deep_Reinforcement_Learning_Driven_Shared_Spectrum_Access_Architecture_for.pdf
W2956647116,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,1,copied,Source_W2956647116.pdf,W2956647116__Smart_Contract_Based_Data_Trading_Mode_Using_Blockchain_and_Machine_Learning.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W2956647116__Smart_Contract_Based_Data_Trading_Mode_Using_Blockchain_and_Machine_Learning.pdf
W3195579788,Data pricing in machine learning pipelines,1,copied,Source_W3195579788.pdf,W3195579788__Data_pricing_in_machine_learning_pipelines.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W3195579788__Data_pricing_in_machine_learning_pipelines.pdf
W4220901737,Data Market Design: A Systematic Literature Review,1,copied,Source_W4220901737.pdf,W4220901737__Data_Market_Design_A_Systematic_Literature_Review.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W4220901737__Data_Market_Design_A_Systematic_Literature_Review.pdf
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,1,copied,Source_W4226305897.pdf,W4226305897__Business_Data_Sharing_through_Data_Marketplaces_A_Systematic_Literature_Review.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W4226305897__Business_Data_Sharing_through_Data_Marketplaces_A_Systematic_Literature_Review.pdf
W4226382147,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",1,copied,Source_W4226382147.pdf,W4226382147__Smartphone_App_Usage_Analysis_Datasets_Methods_and_Applications.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W4226382147__Smartphone_App_Usage_Analysis_Datasets_Methods_and_Applications.pdf
W4288391541,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",1,copied,Source_W4288391541.pdf,W4288391541__Blockchain_and_AI-Empowered_Healthcare_Insurance_Fraud_Detection_an_Analysis_Arc.pdf,D:\数据集\new\shujudingjia\rescued_edges_manual_review_v22_package\source_pdfs_by_source_id\W4288391541__Blockchain_and_AI-Empowered_Healthcare_Insurance_Fraud_Detection_an_Analysis_Arc.pdf
