target_id,cited_paper_title
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends"
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection"
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey
W2743929098,Data pricing strategy based on data quality
W2919782326,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy
W2765365501,Pricing of Data Products in Data Marketplaces
W2612128091,QIRANA
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment
