edge_id,source_id,target_id,citing_paper_title,cited_paper_title,alignment_status,source_of_acceptance
W1994174199->W2950902070,W1994174199,W2950902070,Smart data pricing: To share or not to share?,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",high_confidence,rescued_and_verified
W2473283431->W1841962286,W2473283431,W1841962286,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,high_confidence,rescued_and_verified
W2514159439->W2045522464,W2514159439,W2045522464,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,high_confidence,rescued_and_verified
W2942073230->W2743929098,W2942073230,W2743929098,Big Data Market Optimization Pricing Model Based on Data Quality,Data pricing strategy based on data quality,grouped,rescued_and_verified
W2954543879->W2045522464,W2954543879,W2045522464,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,high_confidence,rescued_and_verified
W2956647116->W2790400697,W2956647116,W2790400697,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,"A Survey on Big Data Market: Pricing, Trading and Protection",high_confidence,rescued_and_verified
W3084177365->W2919782326,W3084177365,W2919782326,A Survey on Data Pricing: From Economics to Data Science,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,high_confidence,rescued_and_verified
W3084177365->W2974598553,W3084177365,W2974598553,A Survey on Data Pricing: From Economics to Data Science,Too Much Data: Prices and Inefficiencies in Data Markets,high_confidence,rescued_and_verified
W3089176333->W2743929098,W3089176333,W2743929098,Towards Query Pricing on Incomplete Data,Data pricing strategy based on data quality,high_confidence,rescued_and_verified
W3089176333->W2919782326,W3089176333,W2919782326,Towards Query Pricing on Incomplete Data,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,high_confidence,rescued_and_verified
W3195579788->W2473283431,W3195579788,W2473283431,Data pricing in machine learning pipelines,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,high_confidence,rescued_and_verified
W4210813858->W2734445852,W4210813858,W2734445852,Data Boundary and Data Pricing Based on the Shapley Value,A First Look at Information Entropy-Based Data Pricing,high_confidence,rescued_and_verified
W4220901737->W2765365501,W4220901737,W2765365501,Data Market Design: A Systematic Literature Review,Pricing of Data Products in Data Marketplaces,high_confidence,rescued_and_verified
W4226305897->W2919782326,W4226305897,W2919782326,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,high_confidence,rescued_and_verified
W4226382147->W2045522464,W4226382147,W2045522464,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,high_confidence,rescued_and_verified
W4288391541->W3215634159,W4288391541,W3215634159,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,high_confidence,rescued_and_verified
W4323644227->W2612128091,W4323644227,W2612128091,A Survey of Data Pricing for Data Marketplaces,QIRANA,high_confidence,rescued_and_verified
W4323644227->W2734426755,W4323644227,W2734426755,A Survey of Data Pricing for Data Marketplaces,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,high_confidence,rescued_and_verified
W4323644227->W2743929098,W4323644227,W2743929098,A Survey of Data Pricing for Data Marketplaces,Data pricing strategy based on data quality,high_confidence,rescued_and_verified
W4323644227->W2765365501,W4323644227,W2765365501,A Survey of Data Pricing for Data Marketplaces,Pricing of Data Products in Data Marketplaces,high_confidence,rescued_and_verified
W4323644227->W2790400697,W4323644227,W2790400697,A Survey of Data Pricing for Data Marketplaces,"A Survey on Big Data Market: Pricing, Trading and Protection",high_confidence,rescued_and_verified
W4323644227->W2919782326,W4323644227,W2919782326,A Survey of Data Pricing for Data Marketplaces,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,high_confidence,rescued_and_verified
