rank,paper_id,main_score,title,is_core
1,W2097281067,0.8623505170795709,TUBE,True
2,W2974598553,0.373583758267977,Too Much Data: Prices and Inefficiencies in Data Markets,True
3,W3123243120,0.3371316068940663,Nonrivalry and the Economics of Data,True
4,W3111554765,0.15936157731466755,Optimal Sticky Prices under Rational Inattention,False
5,W2168402580,0.15449936244535015,Query-based data pricing,True
6,W2910976764,0.13523293172500014,Nonrivalry and the Economics of Data,True
7,W2473283431,0.09560105942072683,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,True
8,W2010653253,0.08682845653244733,A survey of smart data pricing,True
9,W2790400697,0.08591898378872825,"A Survey on Big Data Market: Pricing, Trading and Protection",True
10,W2045522464,0.06311392718244324,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,True
11,W2293940046,0.06157514234123375,Query-Based Data Pricing,True
12,W2612128091,0.056380113489626904,QIRANA,True
13,W2150449738,0.054982054542306896,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,True
14,W1777686370,0.0548602520072617,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,True
15,W1841962286,0.04912776272139039,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,True
16,W3117086259,0.04852941176470589,"Fintech: what’s old, what’s new?",False
17,W2982407593,0.04616596638655463,Trading Private Range Counting over Big IoT Data,False
18,W2123954539,0.04506302521008404,Microeconomic Evidence on Price-Setting,False
19,W2180742472,0.04383364662932993,Smart data pricing,True
20,W2018362551,0.04062925964258205,The challenges of personal data markets and privacy,True
21,W2289113545,0.038033161320397225,Smart data pricing models for the internet of things: a bundling strategy approach,True
22,W2514159439,0.035609243697479,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,False
23,W2906578628,0.03529411764705883,The Internet of Things: A Review of Enabled Technologies and Future Challenges,False
24,W1994174199,0.034061380399648566,Smart data pricing: To share or not to share?,True
