group,variant,top3_changed_papers
section,Equal,ARETE: On Designing Joint Online Pricing (rank 64->72) ; An Online Pricing Mechanism for Mobile C (rank 52->47) ; When Network Effect Meets Congestion Eff (rank 42->46)
section,Conservative,ARETE: On Designing Joint Online Pricing (rank 64->71) ; An Online Pricing Mechanism for Mobile C (rank 52->49) ; When Network Effect Meets Congestion Eff (rank 42->44)
section,Theory-strong,ARETE: On Designing Joint Online Pricing (rank 64->72) ; An Online Pricing Mechanism for Mobile C (rank 52->49) ; When Network Effect Meets Congestion Eff (rank 42->45)
section,Theory-strong-fixed,ARETE: On Designing Joint Online Pricing (rank 64->71) ; When Network Effect Meets Congestion Eff (rank 42->45) ; Marketplaces for Digital Data: Quo Vadis (rank 93->90)
time,no_decay,AMUSE: Empowering Users for Cost-Aware O (rank 36->48) ; ARETE: On Designing Joint Online Pricing (rank 64->71) ; Prices and Market Shares in a Menu Cost  (rank 46->40)
time,strong(2),Personal Data Market Optimization Pricin (rank 95->90) ; A Priced Public Sensing Framework for He (rank 15->19) ; Smart data pricing (rank 19->16)
time,weak(8),AMUSE: Empowering Users for Cost-Aware O (rank 36->40) ; ARETE: On Designing Joint Online Pricing (rank 64->67) ; When Social Network Effect Meets Congest (rank 39->37)
time,veryweak(15),AMUSE: Empowering Users for Cost-Aware O (rank 36->45) ; ARETE: On Designing Joint Online Pricing (rank 64->69) ; Prices and Market Shares in a Menu Cost  (rank 46->42)
relation,no_penalty(0),AMUSE: Empowering Users for Cost-Aware O (rank 36->46) ; Smart data pricing models for the intern (rank 21->12) ; Smart data pricing: To share or not to s (rank 24->16)
relation,mild(0.5),Personal Data Market Optimization Pricin (rank 95->90) ; Smart data pricing: To share or not to s (rank 24->22) ; A Survey of Smart Data Pricing: Past Pro (rank 27->26)
relation,strong(2.0),A Survey of Smart Data Pricing: Past Pro (rank 27->28) ; Smart data pricing: To share or not to s (rank 24->25) ; Coalition Game and Blockchain-Based Opti (rank 28->27)
