paper_id,title,Structure only_score,Structure only_rank,Semantic only_score,Semantic only_rank,Semantic + temporal_score,Semantic + temporal_rank,Semantic + relation_score,Semantic + relation_rank,Full model_score,Full model_rank
W2097281067,TUBE,6.673757211257496,1,0.9366631679849711,1,0.9505942037153652,1,0.9305648148893159,1,0.9472031878429484,1
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,0.6386675277784418,4,0.3721258766646649,2,0.37931604491097837,2,0.37214557563705336,2,0.37935713074869104,2
W3123243120,Nonrivalry and the Economics of Data,0.5674472306249194,5,0.3327395055883461,3,0.34200405054449773,3,0.33275624971487844,3,0.3420389735065509,3
W3111554765,Optimal Sticky Prices under Rational Inattention,0.1911294642857143,18,0.15835546875000003,5,0.15936157731466755,4,0.15835546875000003,5,0.15936157731466755,4
W2168402580,Query-based data pricing,1.2127191016560535,2,0.158764795912998,4,0.15117213610837213,5,0.15986952556672926,4,0.15243543065323706,5
W2910976764,Nonrivalry and the Economics of Data,0.15920955882352944,21,0.13305524551456105,6,0.1352553982089319,6,0.13305524551456105,6,0.1352553982089319,6
W2010653253,A survey of smart data pricing,0.6534602584643063,3,0.09093779130285348,8,0.09432960875502469,8,0.09203986151186502,8,0.09691744674045043,7
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,0.24004118500525218,13,0.09459176298605793,7,0.09526738781884822,7,0.0945882067087851,7,0.09526082165056071,8
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",0.1799599396008404,19,0.08675831222670188,9,0.0872400058291407,9,0.0867526218598659,9,0.08722743619482547,9
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,0.06342384453781513,27,0.06295509453781514,10,0.06295509453781514,10,0.06295509453781514,10,0.06295509453781514,10
W2180742472,Smart data pricing,0.20906914590992653,17,0.04501658667776087,20,0.045817965078906835,19,0.055959736145088985,13,0.06021502864878066,11
W2612128091,QIRANA,0.27010380481880253,11,0.053694332561044306,14,0.056206076817113454,12,0.05448707970702943,14,0.057340053867755356,12
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,0.08144905462184875,24,0.057030527836134465,12,0.054982054542306896,13,0.057030527836134465,12,0.054982054542306896,13
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,0.08599789915966388,23,0.057270220588235304,11,0.0548602520072617,14,0.057270220588235304,11,0.0548602520072617,14
W2293940046,Query-Based Data Pricing,0.43154428016675433,6,0.05041689409757334,15,0.049694744263118124,16,0.05003015395872511,15,0.04928045831453584,15
W3117086259,"Fintech: what’s old, what’s new?",0.04852941176470589,31,0.04852941176470589,16,0.04852941176470589,17,0.04852941176470589,16,0.04852941176470589,16
W2982407593,Trading Private Range Counting over Big IoT Data,0.04616596638655463,33,0.04616596638655463,18,0.04616596638655463,18,0.04616596638655463,17,0.04616596638655463,17
W2123954539,Microeconomic Evidence on Price-Setting,0.04506302521008404,34,0.04506302521008404,19,0.04506302521008404,20,0.04506302521008404,18,0.04506302521008404,18
W2018362551,The challenges of personal data markets and privacy,0.04863064600840336,30,0.04083564661231298,22,0.04061363048472716,22,0.04091722923937361,19,0.040690906109770095,19
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,0.3796805777639182,7,0.0538405334709782,13,0.05890818318411033,11,0.03771329013207805,20,0.03944023507886216,20
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,0.035609243697479,38,0.035609243697479,23,0.035609243697479,23,0.035609243697479,22,0.035609243697479,21
W2906578628,The Internet of Things: A Review of Enabled Technologies and Future Challenges,0.03529411764705883,39,0.03529411764705883,24,0.03529411764705883,24,0.03529411764705883,23,0.03529411764705883,22
W1994174199,Smart data pricing: To share or not to share?,0.3244616843766414,9,0.04749764672764239,17,0.0518051489838047,15,0.03378948988957727,24,0.03525739309434376,23
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,0.22752056397715342,14,0.03179332608885807,26,0.02704377041403321,28,0.03719728550696213,21,0.032375946743221834,24
W3124517880,Optimal Sticky Prices under Rational Inattention,0.07330383403361346,25,0.03302983849789916,25,0.030910947062566675,25,0.03302983849789916,25,0.030910947062566675,25
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",0.2762651207957754,10,0.04084568879412628,21,0.04450706571186425,21,0.02919375548177093,27,0.030441473205822446,26
W2533772775,A pricing model for Big Personal Data,0.2117684696691177,16,0.030028243806461772,27,0.02869597563504668,26,0.030009289498148142,26,0.028690983205959246,27
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,0.028676470588235296,41,0.028676470588235296,28,0.028676470588235296,27,0.028676470588235296,28,0.028676470588235296,28
