source_id,citing_paper_title,failed_alignments
W4323644227,A Survey of Data Pricing for Data Marketplaces,8
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,4
W4281293246,Business model archetypes for data marketplaces in the automotive industry,4
W4312395603,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,4
W4360991875,The Economics of Digital Privacy,3
W2011238498,Accounting for Incomplete Pass-Through,2
W3084177365,A Survey on Data Pricing: From Economics to Data Science,2
W3089176333,Towards Query Pricing on Incomplete Data,2
W3008256197,The Effect of Privacy Regulation on the Data Industry: Empirical Evidence from GDPR,2
W3117086259,"Fintech: what’s old, what’s new?",2
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",2
W2919782326,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,2
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,2
W2180742472,Smart data pricing,2
W3127298136,A Model of the Data Economy,2
W3202764263,Regression markets and application to energy forecasting,2
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,2
W4388068877,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,2
W4390728454,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,2
W4382600626,"We, the Data",2
W4310251148,Data monetization: insights from a technology-enabled literature review and research agenda,2
W4322604225,Data and Markets,2
W2310916783,Marketplaces for Digital Data: Quo Vadis?,1
W2293940046,Query-Based Data Pricing,1
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,1
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,1
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,1
W1994174199,Smart data pricing: To share or not to share?,1
W2010653253,A survey of smart data pricing,1
W1516789636,Debt Sustainability and Procyclical Fiscal Policies in Latin America,1
W3096125752,Data Sharing and Market Power with Two-Sided Platforms,1
W2954543879,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,1
W2956647116,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,1
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,1
W2743929098,Data pricing strategy based on data quality,1
W2612128091,QIRANA,1
W2758203152,Incentivizing self-capping to increase cloud utilization,1
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,1
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,1
W2097281067,TUBE,1
W2123954539,Microeconomic Evidence on Price-Setting,1
W2126626399,The Price Is Right,1
W2190764372,Prospect Pricing in Cognitive Radio Networks,1
W3123243120,Nonrivalry and the Economics of Data,1
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,1
W3121561769,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,1
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,1
W4220901737,Data Market Design: A Systematic Literature Review,1
W4220799794,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,1
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,1
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,1
W3210061505,Personal big data pricing method based on differential privacy,1
W3209462287,Regulatory Spillovers and Data Governance: Evidence from the GDPR,1
W3206864493,Embedding European values in data governance: a case for public data commons,1
W3195579788,Data pricing in machine learning pipelines,1
W4226382147,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",1
W4288391541,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",1
W4289544372,The value of data in digital-based business models: Measurement and economic policy implications,1
W4293428560,Adoption of Federated Learning for Healthcare Informatics: Emerging Applications and Future Directions,1
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,1
W4386021011,What is the value of data? A review of empirical methods,1
W4385311348,Evolving deep gated recurrent unit using improved marine predator algorithm for profit prediction based on financial accounting information system,1
