paper_id,title,semantic_temporal_pagerank,semantic_temporal_pagerank_rank,full_model_score,full_model_score_rank,self_citation_edges,avg_shared_authors,rank_change_due_to_penalty,score_change_due_to_penalty
W1994174199,Smart data pricing: To share or not to share?,0.07056799264214667,11,0.040410737839964794,21,0,0.0,10,-0.03015725480218187
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",0.060455482821454916,14,0.034821816239600324,24,2,4.0,10,-0.02563366658185459
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,0.08098211689980676,9,0.0455029936031222,18,0,0.0,9,-0.03547912329668457
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,0.0009875708447341207,94,0.0005720520169356805,98,0,0.0,4,-0.0004155188277984402
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,0.013389744054513262,46,0.010095845657819347,50,2,1.25,4,-0.0032938983966939155
W3195579788,Data pricing in machine learning pipelines,0.004404629407594304,65,0.004150258671750639,67,0,0.0,2,-0.00025437073584366494
W4293428560,Adoption of Federated Learning for Healthcare Informatics: Emerging Applications and Future Directions,0.00740546218487395,52,0.00740546218487395,53,1,2.0,1,0.0
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,0.02653175282666252,28,0.02539573424829332,29,0,0.0,1,-0.0011360185783691988
W3040491562,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,0.00689732142857143,54,0.00689732142857143,55,0,0.0,1,0.0
W2921968831,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,0.007039434591503312,53,0.007021352390702125,54,0,0.0,1,-1.8082200801187304e-05
W2996741051,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,0.0050579113224237075,61,0.00465248599439776,62,0,0.0,1,-0.0004054253280259476
W4360991875,The Economics of Digital Privacy,0.0075630252100840345,51,0.0075630252100840345,52,0,0.0,1,0.0
W2994622980,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things,0.002993697478991597,74,0.002993697478991597,75,0,0.0,1,0.0
W2919782326,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,0.006412497506170544,55,0.006447666214085541,56,0,0.0,1,3.516870791499694e-05
W4220901737,Data Market Design: A Systematic Literature Review,0.002993697478991597,74,0.002993697478991597,75,0,0.0,1,0.0
W2916829860,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,0.0028138735573289284,76,0.002934106301340649,77,0,0.0,1,0.00012023274401172079
W3096125752,Data Sharing and Market Power with Two-Sided Platforms,0.0030388444776191285,73,0.0030388444776191285,74,0,0.0,1,0.0
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",0.09103438373157649,8,0.09105873859195375,8,0,0.0,0,2.4354860377259757e-05
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,0.09280601893944815,7,0.09280858046400237,7,1,2.0,0,2.5615245542176535e-06
W2910976764,Nonrivalry and the Economics of Data,0.11256951995825601,6,0.11256951995825601,6,0,0.0,0,0.0
W3084177365,A Survey on Data Pricing: From Economics to Data Science,0.021459015871779306,32,0.021578756579354905,32,0,0.0,0,0.00011974070757559893
W3124517880,Optimal Sticky Prices under Rational Inattention,0.024778993478492346,30,0.024778993478492346,30,0,0.0,0,0.0
W2743929098,Data pricing strategy based on data quality,0.028336562454248617,27,0.02776987704988456,27,0,0.0,0,-0.0005666854043640569
W2533772775,A pricing model for Big Personal Data,0.02844287875134465,26,0.028471436786404215,26,0,0.0,0,2.8558035059564335e-05
