paper_id,title,full_model_score,full_model_score_rank,unweighted_pagerank,unweighted_pagerank_rank,rank_change,abs_rank_change,baseline_rank
W2327152018,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,0.0031454058927408634,73,0.17928440427553835,20,53,53,20
W2180742472,Smart data pricing,0.008707637818373776,51,0.2090691459099265,17,34,34,17
W2916829860,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,0.002934106301340649,77,0.02170430672268908,43,34,34,43
W2126626399,The Price Is Right,0.00542694471636437,60,0.05587698923319328,28,32,32,28
W2919782326,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,0.006447666214085541,56,0.06427824973739496,26,30,30,26
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,0.010095845657819347,50,0.13224199054621852,22,28,28,22
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,0.0005720520169356805,98,0.004252626050420168,73,25,25,73
W3089176333,Towards Query Pricing on Incomplete Data,0.0015766934859207087,87,0.006182379201680672,65,22,22,65
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,0.02539573424829332,29,0.3262225991334034,8,21,21,8
W2982407593,Trading Private Range Counting over Big IoT Data,0.04616596638655463,17,0.04616596638655463,33,-16,16,33
W2765365501,Pricing of Data Products in Data Marketplaces,0.024019809739064403,31,0.22229025275735292,15,16,16,15
W2906578628,The Internet of Things: A Review of Enabled Technologies and Future Challenges,0.03529411764705883,23,0.03529411764705883,39,-16,16,39
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,0.035609243697479,22,0.035609243697479,38,-16,16,38
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,0.06266794260076913,11,0.06342384453781513,27,-16,16,27
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,0.028676470588235296,25,0.028676470588235296,41,-16,16,41
W2123954539,Microeconomic Evidence on Price-Setting,0.04506302521008404,19,0.04506302521008404,34,-15,15,34
W2910976764,Nonrivalry and the Economics of Data,0.11256951995825601,6,0.15920955882352944,21,-15,15,21
W3117086259,"Fintech: what’s old, what’s new?",0.04852941176470589,16,0.04852941176470589,31,-15,15,31
W2743929098,Data pricing strategy based on data quality,0.02776987704988456,27,0.2416773391544118,12,15,15,12
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,0.02626575630252101,28,0.02626575630252101,42,-14,14,42
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",0.034821816239600324,24,0.27626512079577537,10,14,14,10
W3111554765,Optimal Sticky Prices under Rational Inattention,0.16569355958897744,4,0.1911294642857143,18,-14,14,18
W1994174199,Smart data pricing: To share or not to share?,0.040410737839964794,21,0.3244616843766413,9,12,12,9
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,0.014338235294117648,41,0.014338235294117648,53,-12,12,53
W3121561769,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,0.01717436974789916,36,0.01717436974789916,48,-12,12,48
W3127298136,A Model of the Data Economy,0.017647058823529415,35,0.017647058823529415,47,-12,12,47
W4226382147,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",0.020294117647058827,33,0.020294117647058827,45,-12,12,45
W2342966760,Time and Location Aware Mobile Data Pricing,0.0037450717287644394,71,0.008153492647058825,59,12,12,59
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,0.06049170593092729,12,0.08599789915966388,23,-11,11,23
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,0.05976879037742265,13,0.08144905462184875,24,-11,11,24
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,0.0455029936031222,18,0.3796805777639181,7,11,11,7
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",0.09105873859195375,8,0.17995993960084036,19,-11,11,19
W4288391541,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",0.014495798319327733,40,0.014495798319327733,51,-11,11,51
W2533772775,A pricing model for Big Personal Data,0.028471436786404215,26,0.21176846966911766,16,10,10,16
W2018362551,The challenges of personal data markets and privacy,0.041272093036519526,20,0.04863064600840336,30,-10,10,30
W2310916783,Marketplaces for Digital Data: Quo Vadis?,0.0012238940137926267,90,0.0028597689075630255,80,10,10,80
W4243417153,Selling Cookies,0.014667568790478112,39,0.053996966911764706,29,10,10,29
W2956647116,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,0.013392857142857146,45,0.013392857142857146,55,-10,10,55
W4360991875,The Economics of Digital Privacy,0.0075630252100840345,52,0.0075630252100840345,61,-9,9,61
W4293428560,Adoption of Federated Learning for Healthcare Informatics: Emerging Applications and Future Directions,0.00740546218487395,53,0.00740546218487395,62,-9,9,62
W2293940046,Query-Based Data Pricing,0.05257552156084605,14,0.4315442801667543,6,8,8,6
W2166180954,Temporary Price Changes and the Real Effects of Monetary Policy,0.013701644241511636,44,0.043503151260504205,36,8,8,36
W3008256197,The Effect of Privacy Regulation on the Data Industry: Empirical Evidence from GDPR,0.00434873949579832,65,0.008634453781512607,57,8,8,57
W2156471581,Prices and Market Shares in a Menu Cost Model,0.01385920726672172,43,0.04366071428571429,35,8,8,35
W4385311348,Evolving deep gated recurrent unit using improved marine predator algorithm for profit prediction based on financial accounting information system,0.004411764705882354,63,0.004411764705882354,70,-7,7,70
W4390728454,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,0.010556722689075633,49,0.010556722689075633,56,-7,7,56
W2190764372,Prospect Pricing in Cognitive Radio Networks,0.006302521008403362,57,0.006302521008403362,64,-7,7,64
W4312395603,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,0.0047268907563025216,61,0.0047268907563025216,68,-7,7,68
W3002742063,Monetization of Services Provided by Public Fog Nodes Using Blockchain and Smart Contracts,0.004411764705882354,63,0.004411764705882354,70,-7,7,70
W3209462287,Regulatory Spillovers and Data Governance: Evidence from the GDPR,0.015210557979218253,38,0.021204831932773113,44,-6,6,44
W4288685807,New and emerging forms of data and technologies: literature and bibliometric review,0.004254201680672269,66,0.004254201680672269,72,-6,6,72
W2010653253,A survey of smart data pricing,0.07167616541591182,9,0.6534602584643063,3,6,6,3
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,0.09280858046400237,7,0.24004118500525215,13,-6,6,13
W3124517880,Optimal Sticky Prices under Rational Inattention,0.024778993478492346,30,0.07330383403361346,25,5,5,25
W3084177365,A Survey on Data Pricing: From Economics to Data Science,0.021578756579354905,32,0.04243093487394958,37,-5,5,37
W3206864493,Embedding European values in data governance: a case for public data commons,0.004096638655462185,69,0.004096638655462185,74,-5,5,74
W4310251148,Data monetization: insights from a technology-enabled literature review and research agenda,0.0036239495798319333,72,0.0036239495798319333,77,-5,5,77
