paper_id,title,citation_count,in_degree,citation_count_rank,unweighted_pagerank,unweighted_pagerank_rank,semantic_pagerank,semantic_pagerank_rank,semantic_temporal_pagerank,semantic_temporal_pagerank_rank,full_model_score,full_model_score_rank
W2097281067,TUBE,231,4,13,6.673757211257496,1,0.8512510074614646,1,0.8746396910397656,1,0.7521140442843489,1
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,204,12,14,0.6386675277784418,4,0.4460900819142698,2,0.4470905312394015,2,0.447126520710385,2
W3123243120,Nonrivalry and the Economics of Data,75,4,36,0.5674472306249194,5,0.3957338342371553,3,0.3965842161638153,3,0.3966148072141242,3
W3111554765,Optimal Sticky Prices under Rational Inattention,973,1,1,0.1911294642857143,18,0.16569355958897744,4,0.16569355958897744,4,0.16569355958897744,4
W2168402580,Query-based data pricing,104,11,27,1.2127191016560532,2,0.14585889356085924,5,0.1452514065543226,5,0.1468097847137315,5
W2910976764,Nonrivalry and the Economics of Data,711,5,2,0.15920955882352944,21,0.11255430023794837,6,0.11256951995825601,6,0.11256951995825601,6
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,352,3,3,0.24004118500525215,13,0.09520261288029545,7,0.09280601893944815,7,0.09280858046400237,7
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",348,15,4,0.17995993960084036,19,0.09142112328009717,8,0.09103438373157649,8,0.09105873859195375,8
W2010653253,A survey of smart data pricing,233,10,12,0.6534602584643063,3,0.07833146760495156,9,0.0802011109273166,10,0.07167616541591182,9
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,95,2,29,0.22752056397715342,14,0.04289589436726336,21,0.03371257041381078,24,0.06693731909495594,10
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,116,3,22,0.06342384453781513,27,0.06266794260076913,12,0.06266794260076913,12,0.06266794260076913,11
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,322,2,6,0.08599789915966388,23,0.06049170593092729,13,0.06049170593092729,13,0.06049170593092729,12
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,74,1,37,0.08144905462184875,24,0.05976879037742265,14,0.05976879037742265,15,0.05976879037742265,13
W2293940046,Query-Based Data Pricing,122,11,19,0.4315442801667543,6,0.05282539389239081,16,0.052802037797508014,16,0.05257552156084605,14
W2612128091,QIRANA,51,8,49,0.2701038048188026,11,0.050542984362291085,17,0.050933520665214005,17,0.05141880426853278,15
W3117086259,"Fintech: what’s old, what’s new?",329,0,5,0.04852941176470589,31,0.04852941176470589,18,0.04852941176470589,18,0.04852941176470589,16
W2982407593,Trading Private Range Counting over Big IoT Data,314,0,7,0.04616596638655463,33,0.04616596638655463,19,0.04616596638655463,19,0.04616596638655463,17
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,100,5,28,0.3796805777639181,7,0.07640285317184005,10,0.08098211689980676,9,0.0455029936031222,18
W2123954539,Microeconomic Evidence on Price-Setting,307,0,8,0.04506302521008404,34,0.04506302521008404,20,0.04506302521008404,20,0.04506302521008404,19
W2018362551,The challenges of personal data markets and privacy,265,5,9,0.04863064600840336,30,0.04107182368325797,22,0.041188272196961466,21,0.041272093036519526,20
W1994174199,Smart data pricing: To share or not to share?,32,2,78,0.3244616843766413,9,0.06667561847337496,11,0.07056799264214667,11,0.040410737839964794,21
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,247,0,10,0.035609243697479,38,0.035609243697479,23,0.035609243697479,22,0.035609243697479,22
W2906578628,The Internet of Things: A Review of Enabled Technologies and Future Challenges,245,0,11,0.03529411764705883,39,0.03529411764705883,24,0.03529411764705883,23,0.03529411764705883,23
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",24,1,96,0.27626512079577537,10,0.05714696477799896,15,0.060455482821454916,14,0.034821816239600324,24
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,50,4,51,0.028676470588235296,41,0.028676470588235296,27,0.028676470588235296,25,0.028676470588235296,25
W2533772775,A pricing model for Big Personal Data,61,8,40,0.21176846966911766,16,0.031226574165241914,25,0.02844287875134465,26,0.028471436786404215,26
W2743929098,Data pricing strategy based on data quality,93,11,32,0.2416773391544118,12,0.02995415244337022,26,0.028336562454248617,27,0.02776987704988456,27
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,33,1,77,0.02626575630252101,42,0.02626575630252101,28,0.02626575630252101,29,0.02626575630252101,28
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,61,5,40,0.3262225991334034,8,0.024319994293494553,30,0.02653175282666252,28,0.02539573424829332,29
W3124517880,Optimal Sticky Prices under Rational Inattention,130,2,16,0.07330383403361346,25,0.024778993478492346,29,0.024778993478492346,30,0.024778993478492346,30
