group_type,group_value,sentiment_bucket,count,ratio
overall,all,negative,0,0.0
overall,all,neutral,18,0.1978021978021978
overall,all,positive,73,0.8021978021978022
overall_metric,sentiment_eq_0,neutral_exact_zero,18,0.1978021978021978
overall_metric,sentiment_gt_0,positive_numeric,73,0.8021978021978022
overall_metric,sentiment_lt_0,negative_numeric,0,0.0
section,Conclusion,negative,0,0.0
section,Conclusion,neutral,1,1.0
section,Conclusion,positive,0,0.0
section,Discussion,negative,0,0.0
section,Discussion,neutral,1,0.14285714285714285
section,Discussion,positive,6,0.8571428571428571
section,Introduction,negative,0,0.0
section,Introduction,neutral,13,0.35135135135135137
section,Introduction,positive,24,0.6486486486486487
section,Methodology,negative,0,0.0
section,Methodology,neutral,2,0.05128205128205128
section,Methodology,positive,37,0.9487179487179487
section,Other,negative,0,0.0
section,Other,neutral,0,0.0
section,Other,positive,2,1.0
section,Result,negative,0,0.0
section,Result,neutral,1,0.2
section,Result,positive,4,0.8
relevance_bucket,low,negative,0,0.0
relevance_bucket,low,neutral,14,0.5384615384615384
relevance_bucket,low,positive,12,0.46153846153846156
relevance_bucket,mid,negative,0,0.0
relevance_bucket,mid,neutral,4,0.06779661016949153
relevance_bucket,mid,positive,55,0.9322033898305084
relevance_bucket,high,negative,0,0.0
relevance_bucket,high,neutral,0,0.0
relevance_bucket,high,positive,6,1.0
