paper_id,title,global_citations,in_degree,citation_count_score,citation_count_rank,unweighted_pagerank_score,unweighted_pagerank_score_rank,time_aware_pagerank_score,time_aware_pagerank_score_rank,semantic_pagerank_score_final,semantic_pagerank_score_final_rank,semantic_temporal_score_final,semantic_temporal_score_final_rank,full_model_score_final,full_model_score_final_rank
W2097281067,TUBE,231,4,231,13,6.673757211257496,1,0.8869939043920017,1,0.865914204569329,1,0.8886062747963784,1,0.8623505170795709,1
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,204,12,204,14,0.6386675277784418,4,0.3773533344006713,2,0.3670801798071982,2,0.3735643346642048,2,0.373583758267977,2
W3123243120,Nonrivalry and the Economics of Data,75,4,75,36,0.5674472306249194,5,0.3403357466099988,3,0.328450663262691,3,0.3371150968308729,3,0.3371316068940663,3
W3111554765,Optimal Sticky Prices under Rational Inattention,973,1,973,1,0.1911294642857143,18,0.15936157731466755,4,0.15835546875000003,5,0.15936157731466755,4,0.15936157731466755,4
W2168402580,Query-based data pricing,104,11,104,27,1.2127191016560532,2,0.15013795882164502,5,0.15865566136715883,4,0.15324777568184944,5,0.15449936244535015,5
W2910976764,Nonrivalry and the Economics of Data,711,5,711,2,0.15920955882352944,21,0.13530312865790808,6,0.13303922277623023,6,0.13523293172500014,6,0.13523293172500014,6
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,352,3,352,3,0.24004118500525215,13,0.09220740499418931,7,0.0953314134417256,7,0.09559971818594568,7,0.09560105942072682,7
W2010653253,A survey of smart data pricing,233,10,233,12,0.6534602584643063,3,0.08686754053849063,9,0.08323291289581916,9,0.08687237024834593,8,0.08682845653244732,8
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",348,15,348,4,0.17995993960084036,19,0.09107138822048871,8,0.08559841496485834,8,0.08589694601034928,9,0.08591898378872825,9
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,116,3,116,22,0.06342384453781513,27,0.06295509453781514,10,0.06311392718244324,10,0.06311392718244324,10,0.06311392718244324,10
W2293940046,Query-Based Data Pricing,122,11,122,19,0.4315442801667543,6,0.05239666483958427,15,0.06181226475431256,11,0.06182241627590229,11,0.06157514234123375,11
W2612128091,QIRANA,51,8,51,49,0.2701038048188026,11,0.054088926984994096,14,0.052826924583321194,15,0.05535565759741347,13,0.056380113489626904,12
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,74,1,74,37,0.08144905462184875,24,0.05498205454230691,12,0.057030527836134465,13,0.054982054542306896,14,0.054982054542306896,13
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,322,2,322,6,0.08599789915966388,23,0.05486025200726171,13,0.057270220588235304,12,0.0548602520072617,15,0.0548602520072617,14
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,95,2,95,29,0.22752056397715342,14,0.03269467538543206,25,0.04623189019902403,18,0.03899640806696714,22,0.04912776272139038,15
W3117086259,"Fintech: what’s old, what’s new?",329,0,329,5,0.04852941176470589,31,0.04852941176470589,17,0.04852941176470589,16,0.04852941176470589,17,0.04852941176470589,16
W2982407593,Trading Private Range Counting over Big IoT Data,314,0,314,7,0.04616596638655463,33,0.04616596638655463,18,0.04616596638655463,19,0.04616596638655463,18,0.04616596638655463,17
W2123954539,Microeconomic Evidence on Price-Setting,307,0,307,8,0.04506302521008404,34,0.04506302521008404,19,0.04506302521008404,20,0.04506302521008404,19,0.04506302521008404,18
W2180742472,Smart data pricing,47,2,47,57,0.2090691459099265,17,0.031133623992770962,26,0.03137126480436801,26,0.03293662864814452,26,0.043833646629329925,19
W2018362551,The challenges of personal data markets and privacy,265,5,265,9,0.04863064600840336,30,0.04084931164074539,21,0.0407592097775307,21,0.04054843682773281,21,0.04062925964258205,20
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,100,5,100,28,0.3796805777639181,7,0.05935602600695644,11,0.05319889427513859,14,0.05879682169638009,12,0.038033161320397225,21
