sample_id,edge_id,source_id,target_id,citing_paper_title,cited_paper_title,alignment_status,target_reference_marker,target_reference_entry,all_target_aligned_contexts,source_pdf_filename,source_pdf_path,source_text_path,target_pdf_filename,target_pdf_path,source_pdf_missing,target_pdf_missing,LLM_section,LLM_sentiment,LLM_relevance,LLM_confidence,LLM_q,human_alignment_check,human_primary_section,human_sentiment,human_relevance,human_note
sample001,W1994174199->W2950902070,W1994174199,W2950902070,Smart data pricing: To share or not to share?,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",high_confidence,[181],"S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Survey, vol. 46, no. 2, Nov. 2013.","In addition, Sen et al. [181] survey the major broad-band pricing proposals, including the realizations in various con- sumer data plans around the world. Murthy et al.",sample001__source__Smart_data_pricing_To_share_or_not_to_share.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample001__source__Smart_data_pricing_To_share_or_not_to_share.pdf,,,,0,1,Introduction,0.7,0.9,0.85,0.2754,,,,,
sample002,W2327152018->W2010653253,W2327152018,W2010653253,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,A survey of smart data pricing,high_confidence,[5],"S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Surveys , vol. 46, no. 2, p. 15, 2013.","To cope with this surge in data usage, which is driven by appli- cations such as mobile video, cloud services, and online magazines, many ISPs (Internet service providers) have adopted tiered pricing plans with monthly data caps to discourage heavy usage [2]. To further reduce network trafﬁc, many ISPs have also introduced supplementary networks such as WiFi hotspots or femtocells to ofﬂoad their cellular trafﬁc [3]–[5]. Such supplementary offer- ings introduce new challenges for users as they decide Y.",,,,,,1,1,Introduction,0.0,0.3,0.9,0.018,,,,,
sample003,W2473283431->W1841962286,W2473283431,W1841962286,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,high_confidence,[106],"A. E. Al-Fagih, F. M. Al-Turjman, W. M. Alsalih, and H. S. Hassanein, “A priced public sensing framework for heterogeneous iot architec- tures,” IEEE Transactions on Emerging Topics in Computing, vol. 1, no. 1, pp. 133–147, 2013.","Thus, the authors in [105] adopted the sealed- bid reverse auction to address the routing problem in WSNs with the aim of minimizing the latency and maximizing the network throughput for all applications. In fact, the latency is also closely related to the energy efﬁciency since a data packet with a large delay due to traveling more hops in the network consumes more energy [106]. The model consists of a router, i.e., a buyer, who selects one of its neighbors, i.e., sellers, as the next hop for the packet delivery.

... [another target-aligned mention] ...

Different from the reverse auction which deﬁnes the lowest price among sellers, the value-based pricing sets price primarily based on the perceived value to the buyer rather than the cost of the product, the market price, or even the historical prices. The authors in [106] employed the value-based pricing to set the data selling price for the sensors, i.e., sellers, according to the requirements of the requester, i.e., the buyer. The general model includes entities as shown in Fig.

... [another target-aligned mention] ...

Citation information: DOI 10.1109/COMST.2016.2582841, IEEE Communications Surveys & Tutorials 17 TABLE II APPLICATIONS OF ECONOMIC AND PRICING MODELS FOR DATA AGGREGATION AND ROUTING Ref. Pricing modelMarket structureMechanism Objective SolutionSeller Buyer ItemData aggregation and routing[103]Sealed-bid reverse auctionSelﬁsh sensorsFusion centerTarget localization dataSellers submit to the auctioneer their ask values inversely proportional to the remaining energy, the auctioneer selects an optimal subset of sellers with the lowest ask valuesEnergy consumption balance, and buyer’s utility maximizationNash equilibrium [105]Sealed-bid reverse auctionNeighboring sensorsRouterPacket forwarding serviceSellers submit to the buyer their asks including the path price, the buyer selects a seller with the lowest path priceOverall minimal delay, and network throughput maximizationNash equilibrium [106]Value-based pricingThe sink nodeRequesterPacket forwarding serviceSeller sets prices according to the requester’s requirements to maximize the utility of the requesterBuyer’s utility maximizationValue optimization [113]Sealed-bid reverse auctionPhone usersServerSensing dataSellers submit their asking prices including the task execution costs to the buyer, the buyer selects a subset of sellers with the lowest asking prices and gives them rewards. The losers also get virtual credit for incentiveService quality guarantee, incentive cost minimization, improved fairness, and social welfare improvementNash equilibrium [115]Sealed-bid reverse auctionPhone usersServerSensing dataSame as [113] but the buyer adds a recruiting mechanism to stimulate the dropped users to join in the futureService quality guarantee, incentive cost minimization, improved fairness, and social welfare improvementNash equilibrium [117]Sealed-bid reverse auctionPhone usersServerSensing dataSame as [113] but the buyer pays the users by monetary instead of the virtual creditIncentive improvementNash equilibrium [118] [119]Sealed-bid reverse auctionPhone usersServerSensing dataSellers submit their asks including costs and their locations.",sample003__source__Data_Collection_and_Wireless_Communication_in_In.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample003__source__Data_Collection_and_Wireless_Communication_in_In.pdf,,,,0,1,Result,0.2,0.9,0.8,0.486,,,,,
sample004,W2533772775->W2168402580,W2533772775,W2168402580,A pricing model for Big Personal Data,Query-based data pricing,high_confidence,[8],"P. Koutris, P. Upadhyaya, M. Balazinska, B. Howe, and D. Suciu, Query-based data pricing, ACM Transactions on Database Systems, vol. 27, no. 4, pp. 438–493, 2012.","Researchers in Ref. [8] proposed a pricing model that charges for a single query, allowing the seller to set a clear price for few views. The authors in Ref.",sample004__source__A_pricing_model_for_Big_Personal_Data.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample004__source__A_pricing_model_for_Big_Personal_Data.pdf,,sample004__target__Query_based_data_pricing.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\target_pdfs_by_sample_id\sample004__target__Query_based_data_pricing.pdf,0,0,Methodology,0.5,0.6,0.8,0.27,,,,,
sample005,W2508874533->W2010653253,W2508874533,W2010653253,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,A survey of smart data pricing,grouped,[1],"Cisco, Cisco Visual Networking Index, “Global mobile data traf- ﬁc forecast update 2014–2019. white paper c11-520862,” Avail- able on http://www. cisco. com/c/en/us/solutions/collateral/service- provider/visual-networking-index-vni/white paper c11-520862. html . [2]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “Smart data pricing (SDP): economic solutions to network congestion,” ACM SIGCOMM Recent Advances in Networking , pp. 221–274, 2013. [3]A. Mas-Colell, M. D. Whinston, J. R. Green et al. ,Microeconomic theory . Oxford university press New York, 1995, vol. 1. [4]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Surveys (CSUR) , vol. 46, no. 2, p. 15, 2013. [5]P. Hande, M. Chiang, R. Calderbank, and J. Zhang, “Pricing under constraints in access networks: Revenue maximization and congestion management,” in Proceedings of IEEE INFOCOM , 2010, pp. 1–9. [6]M. Andrews, U. Ozen, M. Reiman, Q. Wang et al. , “Economic models of sponsored content in wireless networks with uncertain demand,” in Proceedings of IEEE INFOCOM , 2013, pp. 3213–3218. [7]C.-K. Chau, Q. Wang, and D.-M. Chiu, “On the viability of paris metro pricing for communication and service networks,” in Proceedings of IEEE INFOCOM , 2010, pp. 1–9. [8]S. Ha, S. Sen, C. Joe-Wong, Y. Im, and M. Chiang, “Tube: time- dependent pricing for mobile data,” ACM SIGCOMM Computer Com- munication Review , vol. 42, no. 4, pp. 247–258, 2012. [9]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “Incentivizing time-shifting of data: a survey of time-dependent pricing for internet access,” IEEE Communications Magazine , vol. 50, no. 11, pp. 91–99, 2012.","I. INTRODUCTION The Cisco Visual Network Index predicted that global mobile data trafﬁc will increase nearly tenfold between 2014 and 2019, and mobile video trafﬁc will account for 72% of the total mobile data trafﬁc by 2019 [1]. It will be enormous strain on already-overburdened mobile networks to meet this big multimedia data demand, which drives mobile network operators to innovate new pricing schemes.

... [another target-aligned mention] ...

The searching table can be updated with the dynamic estimated channel quality in spare time periods between transmitting video sequences. Then, the optimal power and price can be searched directly from the table when non-uniform SMP wasAlgorithm 1 : Non-Uniform Media Pricing Initialization: 1:Initialize the currency gain a, unit cost c, channel quality G, frequency bandwidth W, symbol rate Rs, noise power density N0, maximum iteration steps M, and distortion reduction Diand length Li; i2[1; N]. Iteration: 2:while i+ + 2[1; N]do 3: SetD=DiandL=Li; 4: Initialize Umax = 0; 5: Let =linspace (min; max; M); 6: while m= 1 :Mdo 7: Set= (m)and initialize P0= 0; 8: LetF(P) = Lexp ( ",sample005__source__Smart_Media_Pricing_SMP_Non_uniform_packet_prici.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample005__source__Smart_Media_Pricing_SMP_Non_uniform_packet_prici.pdf,,,,0,1,Introduction,0.3,0.5,0.8,0.065,,,,,
sample006,W2509511072->W1994174199,W2509511072,W1994174199,Understanding rollover data,Smart data pricing: To share or not to share?,high_confidence,[6],"Y . Jin and Z. Pang, “Smart data pricing: To share or not to share?,” Proc. IEEE Infocom Workshops on Smart Data Pricing , 2014.","This heterogeneous data usage brings challenges todesigning mobile data plans, as the available monthly dataquotas may not ﬁt different users’ needs. Shared data plans [3]–[6] can help to even out the het- erogeneity in user demands by allowing multiple users anddevices to share one monthly quota of data usage. Taking thisone step further, users can even be allowed to trade leftoverdata with one another in a secondary data market [7]–[9].Thus, heavy users can reduce the likelihood of exceeding theirquotas by sharing or trading data caps with light users.",sample006__source__Understanding_rollover_data.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample006__source__Understanding_rollover_data.pdf,,sample006__target__Smart_data_pricing_To_share_or_not_to_share.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\target_pdfs_by_sample_id\sample006__target__Smart_data_pricing_To_share_or_not_to_share.pdf,0,0,Introduction,0.5,0.6,0.9,0.108,,,,,
sample007,W2514159439->W2045522464,W2514159439,W2045522464,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,high_confidence,[16],"H. Wang, F. Xu, Yong Li, P . Zhang, D. Jin, “Understanding Mobile Trafﬁc Patterns of Large Scale Cellular Towers in Urban Environ- ment”, in Proc. ACM IMC 2015.","Overall, there is a huge difference existing in the trafﬁc distribution of these different hours, reﬂecting the extremely inhomogeneous trafﬁc usages in terms of time and of different base stations. A more detailed trafﬁc analysis and characterization can be found in our prior work [16]. 2.2 Motivation Our dataset records the information of mobile trafﬁc con- sumption of about 9 thousand base stations spanning over one month, which quantitatively characterizes the spatio- temporal distribution of mobile trafﬁc load and human trafﬁc consumption behaviors.",sample007__source__Big_Data_Driven_Mobile_Traffic_Understanding_and.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample007__source__Big_Data_Driven_Mobile_Traffic_Understanding_and.pdf,,,,0,1,Methodology,0.0,0.9,1.0,0.405,,,,,
sample008,W2581979418->W1998665878,W2581979418,W1998665878,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,When Network Effect Meets Congestion Effect,grouped,[1],"X. Gong, L. Duan, and X. Chen, “When network effect meets congestion effect: Leveraging social services for wireless services,” in Proc. ACM MobiHoc 2015.","The corresponding author is Xu Chen. Part of this work was presented in ACM MobiHoc 2015 [1]. Social Domain 1 2 3 4 Network Effect Physical Domain 1 2 3 4 Congestion Effect Fig.

... [another target-aligned mention] ...

To our best knowledge, the interplay between network effect and congestion effect on users’ behavior in communication networks has not been explored. While part of this work has been presented in [1], more analytical results have been added in this paper. In particular, it is shown that when certain condition does not hold, there can exist multiple UDEs.

... [another target-aligned mention] ...

Content may change prior to final publication. Citation information: DOI 10.1109/JSAC.2017.2659059, IEEE Journal on Selected Areas in Communications Algorithm 2: Achieve the UDE in a distributed manner in Stage II 1each useri2N chooses an initial usage x(0) i0; 2loop at each time interval t= 1;2;::: 3each useri2N in parallel: 4updates its usage as x(t+1) i = arg max xi2[0;1)ui(xi;x(t) ",,,,,,1,1,Introduction,0.5,0.7,0.9,0.147,,,,,
sample009,W2790400697->W2734426755,W2790400697,W2734426755,"A Survey on Big Data Market: Pricing, Trading and Protection",An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,high_confidence,[75],"Z. Zheng, Y . Peng, F. Wu, S. Tang, and G. Chen, “An online pricing mechanism for mobile crowdsensing data markets,” in Proceedings of the 18th ACM International Symposium on Mobile Ad Hoc Networking and Computing. ACM, 2017, p. 26.","Citation information: DOI 10.1109/ACCESS.2018.2806881, IEEE Access 11 TABLE II: Data pricing models Ref. Market Structures Pricing Models Algorithms/Schemes Goals Approaches [16] Monopoly Economic-Based Pricing Information EntropyReduce uncertainty by reducing the information entropy to avoid the interference from uncertain data contentDeﬁne ﬁve tuples parameters for data and reduce the uncertainty information entropy [75] Strong competition Economic-Based Pricing Gaussian ProcessCapture the uncertain contents of source dataCreate a trading market, and simulate the trading process. Then, use statistics approach and Gaussian process to analyze the data trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based PricingUse pricing incentives method to improve the Quality of Service (QoS) and encourage upload data for the sensorsSet a bundle with data and service; use Stackelberg game to encourage the service and negotiate the data price with consumers [52] Monopoly Economic-Based PricingAlternate optimal multi-step pricing schemeCompute the most closest pricing in case of fallaciesPropose a general framework to compute the proﬁt for a licensed datasets pricing and consider with Willingness to Pay (WTP) of consumer side, and then obtain the maximizing proﬁt [78] Monopoly Economic-Based Pricing Economic-Based schemesCreate the differential digital productCalculate the differentiation of digital product and create the “differential delay”, then, pricing the digital product depends on the differentiations [79] MonopolyGame Theory-Based PricingStackelberg Game-Based PricingUse concave increasing function and Stackelberg game to maximize the proﬁt of datasetsCreate a digital market model with sensors, datasets, and consumers and use Stackelberg game model to obtain the maximum proﬁt [80] Strong competitionEconomic-Based Pricing and Auction-Based PricingEconomic-based schemes and Bargaining gameCalculate the cost and build economic modelBuild the economic model to analyze and calculate the cost of a certain datasets, and then, use Bargaining game to conﬁrm price of the datasets [81] Oligopoly Economic-Based PricingStatistics and Machine learning (Time-Dependent Pricing based on K-Nearest Neighbors (TDP-KNN) algorithm pricing algorithm and Time-Dependent Pricing based on Transition Rules (TDP-TR) pricing algorithm)Collect the usage of a certain datasetUse machine learning TDP-KNN algorithm) to collect and analyze the usage of some datasets and calculate the future usage expectation, and then, price the data [82] Monopoly Economic-Based Pricing Genetic algorithmDesign an assessment methods for exist data product and obtain its multi-dimensionality and dimensionsCreate a data-pricing tow level programming model depends on the quality and the proﬁt, and using genetic algorithm solves the model [83] Strong competition Economic-Based Pricing Snowballing AlgorithmDesign the market rule and the pricing modelsDesign a market model to create the selling database, and analyze the database 2169-3536 (c) 2018 IEEE.",sample009__source__A_Survey_on_Big_Data_Market_Pricing_Trading_and_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample009__source__A_Survey_on_Big_Data_Market_Pricing_Trading_and_.pdf,,,,0,1,Other,0.0,0.4,0.7,0.016,,,,,
sample010,W2906578628->W2473283431,W2906578628,W2473283431,The Internet of Things: A Review of Enabled Technologies and Future Challenges,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,high_confidence,[3],"N. C. Luong, D. T. Hoang, P. Wang, D. Niyato, D. I. Kim, and Z. Han, “Data collection and wireless communication in internet of things (iot) using economic analysis and pricing models: A survey,” IEEE Commu- nications Surveys & Tutorials, vol. 18, no. 4, pp. 2546–2590, 2016.","INTRODUCTION THE Internet technology has been experiencing consid- erable modiﬁcations since its early times and has turned out to be an imperative transmission framework aiming at everywhere and every time connectivity [1]. The Internet of Things (IoT) is a new concept permitting billions of tiny machines, for example, sensors, to be connected to the Internet [2], [3]. With the Internet growth, IoT has carried out an impressive effect to several ﬁelds and there have been numerous IoT applications employed for enhancing the network operation and users’ quality of experience.

... [another target-aligned mention] ...

With the improvement of IoT, several technologies have been introduced [24], which are the main focus of this paper and are discussed in the following sections in detail. Several good surveys have been published on IoT enabled technologies, such as IoT-based smart cities [25], heterogeneous IoT [5], fog computing for IoT [19], data mining for IoT [26], WSN-based data centric IoT [3], IoT- based cellular communications [1], context awareness-based IoT [27], virtual object-based IoT [28], and IoT-based real- time analytics [29]. This survey provides a detailed expla- nation of the mentioned papers in terms of their contribu- tions and future directions for further research.

... [another target-aligned mention] ...

Section V draws a sketch of data mining for IoT [26] classiﬁed into four technologies, i.e., clustering, classiﬁcation, frequent patterns, and association rules. Section VI reports the WSN- based data centric IoT [3] with regard to different data aggregation mechanisms. Section VII summarizes the IoT- based cellular communications [1] considering the long term evolution (LTE).

... [another target-aligned mention] ...

A smart city contains a num- ber of classiﬁcations of end-users, for example, inhabitants, administration, business associates, and so on. Though, a number of surveys are available on smart cities, such as [3], [31]–[40] discussing different overviews and architectures of smart cities, this portion elaborates the most recent survey [25] on smart cities. The survey in [25] consists of four main phases, which are discussed in the following subsections.

... [another target-aligned mention] ...

Citation information: DOI 10.1109/ACCESS.2018.2886601, IEEE Access Ikram Ud Din et al.: IEEE Access TABLE 1. Analysis of presented surveys Survey Reference Scope Smart Cities: IoT Enabling Technolo- gies[25] Data trafﬁc, virtual power plant, emergency sys- tem, health system Heterogeneous IoT [5] Sensing layer, networking layer, cloud computing layer, application layer Fog Computing for IoT [19] Cloud layer, fog layer, device layer Data mining for IoT [26] Clustering, Classiﬁcation, Frequent patterns, Asso- ciation rules WSN-based data centric IoT [3] Data aggregation mechanisms IoT-based cellular communications [1] Long Term Evolution (LTE) Context Awareness-based IoT [27] Applications and middleware solutions Virtual object-based IoT [28] Historical evolution and current features Real-Time analytics based IoT [29] Wireless, wired, and hybrid data centers TABLE 2. Acronyms and their deﬁnitions Acronym Deﬁnition Acronym Deﬁnition BCCH Broadcast Control Channel OT Operation Theater BS Base Station PRACH Physical Random Access Channel CATM UE MTC Category for User Equipment PSNR Peak-Signal-to-Noise-Ratio CCTV Closed-Circuit Television PUCCH Physical Uplink Control Channel CLA Context Lifecycle Approach PUSCH Uplink Shared Channel C-RAN Cloud-Radio Access Network QoS Quality-of-Service CXaaS Context-as-a-Service RAN Radio Access Network DMRS Demodulation Reference Signal RFID Radio-Frequency Identiﬁcation DoS Denial of Service RLC Radio Link Control ELA Enterprise Lifecycle Approach RSU Road Side Unit F-RAN Fog-Radio Access Network SDN Software Deﬁned Network GPS Global Positioning System SRS Sounding Reference Signal H2H Human-to-Human SSE Sum of Squared Errors IOS Internet Operating System SVM Support Vector Machine IoT Internet of Things UII Unique Item Identiﬁcation KDD Knowledge Discovery in Databases V ANET Vehicular Ad hoc Network LAN Local Area Network VNI Visual Networking Index LSVM Linear Support Vector Machine VPP Virtual Power Plant LTE Long Term Evolution WSN Wireless Sensor Network MTC Machine Type Communication 3GPP 3rd Generation Partnership Project M2M Machine-to-Machine 4G Fourth Generation NB Narrowband 5G Fifth Generation analyzed and distributed for a safer drive.

... [another target-aligned mention] ...

Various IoT paradigms have been proposed in the litera- ture [164]–[167], which provide sufﬁcient knowledge about the stated characteristics. The WSN-based data centric IoT survey [3] focuses on the following four issues: i) Data exchange, ii) Resource and task allocation, iii) Coverage and target tracking, and iv) Denial of service (DoS) attack prevention pertaining to economic models. These modules are discussed in the following subsections in detail.

... [another target-aligned mention] ...

(c) Data collection in a sealed-bid reverse auction. (d) Data collection, where the service provider splits the budget and the targeted work into various small budgets and periods [3]. A.

... [another target-aligned mention] ...

XI. LESSONS LEARNED This section is based on the following IoT-related papers: i) smart cities [25] that consist of trafﬁc management, virtual power plants, emergency and health systems; ii) heteroge- neous IoT [5] that elaborates the functions of application, cloud, networking, and sensing layers; iii) fog computing [19], which elucidates the functionalities of cloud, fog, and device layers; iv) data mining [26], which is classiﬁed into four parts, i.e., clustering, classiﬁcation, frequent patterns, and association rules; v) data centric WSN [3] with respect to four aggregated schemes, i.e., data exchange, task and/or re- source allocation, sensing coverage with target identiﬁcation, and prevention of DoS attacks; vi) cellular communications [1] with regard to LTE; vii) content-awareness [27], which delineates a range of middleware applications along with their solutions; viii) virtual objects [28] in terms of archi- tectures and their roles; and ix) real-time analytics [29] with respect to network requirements and methodologies. These lessons are presented in the following subsections in detail.

... [another target-aligned mention] ...

E. WSN-BASED DATA CENTRIC IOT Different from the traditional WSN, the IoT-based WSN [3] needs to be smarter [163], because it does not only execute ordinary tasks but also perform important functions with little human involvement. Dealing with billions of IoT devices, numerous challenges in terms of economical deployment and appropriate processing can be faced.

... [another target-aligned mention] ...

Data mining for IoT [26] Presents an overview of the features of data mining for IoT in line with future challenges and open issues.Ignores to present the IoT overview from various angles, such as semantics, devices, and Internet. WSN-based data centric IoT [3] Studies various functions of the economic and pricing prototypes, called intelligent log- ical decision-making techniques, to design procedures and systems for wireless sensor networks.Lakes to provide a partition of network trafﬁc into logical phases that affect the functionali- ties of WSNs. IoT-based cellular communications [1] Delivers a detailed explanation of the MTC development through various LTE releases and the newly designed MTC categories.Discusses only the physical layer features and neglects other important aspects, such as end- to-end network slicing and scalability issues for mobile IoT.

... [another target-aligned mention] ...

Real-Time analytics based IoT [29] Deﬁnes the essentials of the real-time IoT analytics and procedures, and clariﬁes limi- tations of the system policies for their valida- tion.Does not discuss protocols and applications that would assist the research community to choose appropriate technologies. with respect to WSN, WiFi, and cellular communications, iii) fog computing [19] with regard to users’ privacy and trust- worthiness, iv) data mining [26] in line with decentralized and heterogeneous techniques, v) data centric WSN [3] con- cerning mobility patterns and payment security, vi) cellular communications [1] with reference to obtaining frequency and operating cell IDs, vii) context-awareness [27] pertaining to device recognition and connection, viii) virtual objects [28] regarding their lifecycle and garbage collection, and ix) real-time analytics [29] in connection with scalability, fault tolerance, and massive data transmission. These challenges are addressed in the following subsections separately.

... [another target-aligned mention] ...

Pricing models for determining communica- tions and data gathering glitches in delivery networksLuonget al. [3] have provided economic models to determine communications and data aggregation issues in the IoT environment. Long Term Evolution (LTE-A)-based delivery networksElsaadany et al.

... [another target-aligned mention] ...

Hence, the server should keep track of the pattern of mobility of each in- dividual cellphone user [308]. In addition, payment security and bids’ conﬁdentiality [309] are two other prominent open research issues [3]. F.",sample010__source__The_Internet_of_Things_A_Review_of_Enabled_Techn.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample010__source__The_Internet_of_Things_A_Review_of_Enabled_Techn.pdf,,sample010__target__Data_Collection_and_Wireless_Communication_in_In.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\target_pdfs_by_sample_id\sample010__target__Data_Collection_and_Wireless_Communication_in_In.pdf,0,0,Discussion,0.5,0.7,0.9,0.2572499999999999,,,,,
