edge_id,source_id,target_id,citing_paper_title,cited_paper_title,citing_year,cited_year,target_reference_marker,target_reference_entry,reference_match_method,reference_match_score,num_mentions,all_target_aligned_contexts,context_type,alignment_status,alignment_note,source_of_acceptance
W1994174199->W2950902070,W1994174199,W2950902070,Smart data pricing: To share or not to share?,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",2014,2020,[181],"S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Survey, vol. 46, no. 2, Nov. 2013.",title_compact_exact,0.99,1,"In addition, Sen et al. [181] survey the major broad-band pricing proposals, including the realizations in various con- sumer data plans around the world. Murthy et al.",exact,high_confidence,Candidate v2.2 rescue via title_compact_exact (score=0.990) | human_reference_marker_confirmed=[181] | human_note=nan,rescued_and_verified
W2327152018->W2010653253,W2327152018,W2010653253,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,A survey of smart data pricing,2015,2020,[5],"S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Surveys , vol. 46, no. 2, p. 15, 2013.",title_exact,0.97,1,"To cope with this surge in data usage, which is driven by appli- cations such as mobile video, cloud services, and online magazines, many ISPs (Internet service providers) have adopted tiered pricing plans with monthly data caps to discourage heavy usage [2]. To further reduce network trafﬁc, many ISPs have also introduced supplementary networks such as WiFi hotspots or femtocells to ofﬂoad their cellular trafﬁc [3]–[5]. Such supplementary offer- ings introduce new challenges for users as they decide Y.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,original_v21
W2473283431->W1841962286,W2473283431,W1841962286,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,2016,2013,[106],"A. E. Al-Fagih, F. M. Al-Turjman, W. M. Alsalih, and H. S. Hassanein, “A priced public sensing framework for heterogeneous iot architec- tures,” IEEE Transactions on Emerging Topics in Computing, vol. 1, no. 1, pp. 133–147, 2013.",title_compact_exact,0.99,3,"Thus, the authors in [105] adopted the sealed- bid reverse auction to address the routing problem in WSNs with the aim of minimizing the latency and maximizing the network throughput for all applications. In fact, the latency is also closely related to the energy efﬁciency since a data packet with a large delay due to traveling more hops in the network consumes more energy [106]. The model consists of a router, i.e., a buyer, who selects one of its neighbors, i.e., sellers, as the next hop for the packet delivery.

... [another target-aligned mention] ...

Different from the reverse auction which deﬁnes the lowest price among sellers, the value-based pricing sets price primarily based on the perceived value to the buyer rather than the cost of the product, the market price, or even the historical prices. The authors in [106] employed the value-based pricing to set the data selling price for the sensors, i.e., sellers, according to the requirements of the requester, i.e., the buyer. The general model includes entities as shown in Fig.

... [another target-aligned mention] ...

Citation information: DOI 10.1109/COMST.2016.2582841, IEEE Communications Surveys & Tutorials 17 TABLE II APPLICATIONS OF ECONOMIC AND PRICING MODELS FOR DATA AGGREGATION AND ROUTING Ref. Pricing modelMarket structureMechanism Objective SolutionSeller Buyer ItemData aggregation and routing[103]Sealed-bid reverse auctionSelﬁsh sensorsFusion centerTarget localization dataSellers submit to the auctioneer their ask values inversely proportional to the remaining energy, the auctioneer selects an optimal subset of sellers with the lowest ask valuesEnergy consumption balance, and buyer’s utility maximizationNash equilibrium [105]Sealed-bid reverse auctionNeighboring sensorsRouterPacket forwarding serviceSellers submit to the buyer their asks including the path price, the buyer selects a seller with the lowest path priceOverall minimal delay, and network throughput maximizationNash equilibrium [106]Value-based pricingThe sink nodeRequesterPacket forwarding serviceSeller sets prices according to the requester’s requirements to maximize the utility of the requesterBuyer’s utility maximizationValue optimization [113]Sealed-bid reverse auctionPhone usersServerSensing dataSellers submit their asking prices including the task execution costs to the buyer, the buyer selects a subset of sellers with the lowest asking prices and gives them rewards. The losers also get virtual credit for incentiveService quality guarantee, incentive cost minimization, improved fairness, and social welfare improvementNash equilibrium [115]Sealed-bid reverse auctionPhone usersServerSensing dataSame as [113] but the buyer adds a recruiting mechanism to stimulate the dropped users to join in the futureService quality guarantee, incentive cost minimization, improved fairness, and social welfare improvementNash equilibrium [117]Sealed-bid reverse auctionPhone usersServerSensing dataSame as [113] but the buyer pays the users by monetary instead of the virtual creditIncentive improvementNash equilibrium [118] [119]Sealed-bid reverse auctionPhone usersServerSensing dataSellers submit their asks including costs and their locations.",exact,high_confidence,Candidate v2.2 rescue via title_compact_exact (score=0.990) | human_reference_marker_confirmed=[106] | human_note=nan,rescued_and_verified
W2473283431->W2180742472,W2473283431,W2180742472,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,Smart data pricing,2016,2020,[30],"D. Niyato, X. Lu, P. Wang, D. I. Kim, and Z. Han, “Economics of internet of things (iot): An information market approach,” arXiv preprint arXiv:1510.06837, 2015.[31] D. Niyato, D. T. Hoang, N. C. Luong, P. Wang, D. I. Kim, and Z. Han, “Smart data pricing models for internet-of-things (iot): A bundling strategy approach,” vol. 30, no. 2, pp. 18–25, 2016.",title_exact,0.97,3,"Location-based services are also primary services of the IoT with an expected revenue of $34.8 billion in 2020 (http://iotbusinessnews.com). Among these resources, the sensing data and information are the most important ones in IoT since they can maximize the utility and proﬁt of owners and providers [30]. To describe how IoT changes business models, an IoT business model (see Fig.

... [another target-aligned mention] ...

The information can be treated as items traded in the market, and the main problem is how to set prices for the sensing infor- mation so that the service providers’ proﬁts are maximized. Consider a competitive market involving IoT service providers, the authors in [30] formulated the competition in setting the price as a non-cooperative game. The players are the service providers, i.e., sellers, and the strategy of each player is to set the price of the sensing information to maximize his own payoff, i.e., proﬁt.

... [another target-aligned mention] ...

The seller ﬁnds optimal rate and charge for the buyers through the utility functionMaximized throughput, load balance, and minimized costOptimization solution 6) Collusion and Price of Anarchy: In a competitive mar- ket, service providers set selling prices to maximize their own proﬁts given the strategies of other providers. A Nash equilibrium can be an appropriate solution as proposed in [30]. However, due to selﬁsh behaviors of the service providers, they can collude with each other to optimize their proﬁts collectively, and thus the Nash equilibrium become inefﬁcient [274].",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,original_v21
W2508874533->W2010653253,W2508874533,W2010653253,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,A survey of smart data pricing,2016,2020,[1],"Cisco, Cisco Visual Networking Index, “Global mobile data traf- ﬁc forecast update 2014–2019. white paper c11-520862,” Avail- able on http://www. cisco. com/c/en/us/solutions/collateral/service- provider/visual-networking-index-vni/white paper c11-520862. html . [2]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “Smart data pricing (SDP): economic solutions to network congestion,” ACM SIGCOMM Recent Advances in Networking , pp. 221–274, 2013. [3]A. Mas-Colell, M. D. Whinston, J. R. Green et al. ,Microeconomic theory . Oxford university press New York, 1995, vol. 1. [4]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Surveys (CSUR) , vol. 46, no. 2, p. 15, 2013. [5]P. Hande, M. Chiang, R. Calderbank, and J. Zhang, “Pricing under constraints in access networks: Revenue maximization and congestion management,” in Proceedings of IEEE INFOCOM , 2010, pp. 1–9. [6]M. Andrews, U. Ozen, M. Reiman, Q. Wang et al. , “Economic models of sponsored content in wireless networks with uncertain demand,” in Proceedings of IEEE INFOCOM , 2013, pp. 3213–3218. [7]C.-K. Chau, Q. Wang, and D.-M. Chiu, “On the viability of paris metro pricing for communication and service networks,” in Proceedings of IEEE INFOCOM , 2010, pp. 1–9. [8]S. Ha, S. Sen, C. Joe-Wong, Y. Im, and M. Chiang, “Tube: time- dependent pricing for mobile data,” ACM SIGCOMM Computer Com- munication Review , vol. 42, no. 4, pp. 247–258, 2012. [9]S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “Incentivizing time-shifting of data: a survey of time-dependent pricing for internet access,” IEEE Communications Magazine , vol. 50, no. 11, pp. 91–99, 2012.",title_exact,0.97,3,"I. INTRODUCTION The Cisco Visual Network Index predicted that global mobile data trafﬁc will increase nearly tenfold between 2014 and 2019, and mobile video trafﬁc will account for 72% of the total mobile data trafﬁc by 2019 [1]. It will be enormous strain on already-overburdened mobile networks to meet this big multimedia data demand, which drives mobile network operators to innovate new pricing schemes.

... [another target-aligned mention] ...

The searching table can be updated with the dynamic estimated channel quality in spare time periods between transmitting video sequences. Then, the optimal power and price can be searched directly from the table when non-uniform SMP wasAlgorithm 1 : Non-Uniform Media Pricing Initialization: 1:Initialize the currency gain a, unit cost c, channel quality G, frequency bandwidth W, symbol rate Rs, noise power density N0, maximum iteration steps M, and distortion reduction Diand length Li; i2[1; N]. Iteration: 2:while i+ + 2[1; N]do 3: SetD=DiandL=Li; 4: Initialize Umax = 0; 5: Let =linspace (min; max; M); 6: while m= 1 :Mdo 7: Set= (m)and initialize P0= 0; 8: LetF(P) = Lexp ( ",mixed,grouped,Reference entry matched with high title confidence; marker appears in a grouped citation.,original_v21
W2509511072->W1994174199,W2509511072,W1994174199,Understanding rollover data,Smart data pricing: To share or not to share?,2016,2014,[6],"Y . Jin and Z. Pang, “Smart data pricing: To share or not to share?,” Proc. IEEE Infocom Workshops on Smart Data Pricing , 2014.",title_exact,0.97,1,"This heterogeneous data usage brings challenges todesigning mobile data plans, as the available monthly dataquotas may not ﬁt different users’ needs. Shared data plans [3]–[6] can help to even out the het- erogeneity in user demands by allowing multiple users anddevices to share one monthly quota of data usage. Taking thisone step further, users can even be allowed to trade leftoverdata with one another in a secondary data market [7]–[9].Thus, heavy users can reduce the likelihood of exceeding theirquotas by sharing or trading data caps with light users.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,original_v21
W2509511072->W2010653253,W2509511072,W2010653253,Understanding rollover data,A survey of smart data pricing,2016,2020,[1],"S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Surveys (CSUR) , vol. 46, no. 2, p. 15, 2013.",title_exact,0.97,1,"I. I NTRODUCTION Most Internet service providers (ISPs) today charge their users a ﬂat fee for a limited amount of mobile data that can be used each month, with steep overage fees for exceeding thismonthly quota [1]. Moreover, in most cases, leftover data atthe end of each month cannot be rolled over into subsequentmonths.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,original_v21
W2514159439->W2045522464,W2514159439,W2045522464,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,2016,2020,[16],"H. Wang, F. Xu, Yong Li, P . Zhang, D. Jin, “Understanding Mobile Trafﬁc Patterns of Large Scale Cellular Towers in Urban Environ- ment”, in Proc. ACM IMC 2015.",title_compact_exact,0.99,1,"Overall, there is a huge difference existing in the trafﬁc distribution of these different hours, reﬂecting the extremely inhomogeneous trafﬁc usages in terms of time and of different base stations. A more detailed trafﬁc analysis and characterization can be found in our prior work [16]. 2.2 Motivation Our dataset records the information of mobile trafﬁc con- sumption of about 9 thousand base stations spanning over one month, which quantitatively characterizes the spatio- temporal distribution of mobile trafﬁc load and human trafﬁc consumption behaviors.",exact,high_confidence,Candidate v2.2 rescue via title_compact_exact (score=0.990) | human_reference_marker_confirmed=[16] | human_note=nan,rescued_and_verified
W2533772775->W2168402580,W2533772775,W2168402580,A pricing model for Big Personal Data,Query-based data pricing,2016,2020,[8],"P. Koutris, P. Upadhyaya, M. Balazinska, B. Howe, and D. Suciu, Query-based data pricing, ACM Transactions on Database Systems, vol. 27, no. 4, pp. 438–493, 2012.",title_exact,0.97,1,"Researchers in Ref. [8] proposed a pricing model that charges for a single query, allowing the seller to set a clear price for few views. The authors in Ref.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,original_v21
W2581979418->W1998665878,W2581979418,W1998665878,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,When Network Effect Meets Congestion Effect,2017,2020,[1],"X. Gong, L. Duan, and X. Chen, “When network effect meets congestion effect: Leveraging social services for wireless services,” in Proc. ACM MobiHoc 2015.",title_exact,0.97,3,"The corresponding author is Xu Chen. Part of this work was presented in ACM MobiHoc 2015 [1]. Social Domain 1 2 3 4 Network Effect Physical Domain 1 2 3 4 Congestion Effect Fig.

... [another target-aligned mention] ...

To our best knowledge, the interplay between network effect and congestion effect on users’ behavior in communication networks has not been explored. While part of this work has been presented in [1], more analytical results have been added in this paper. In particular, it is shown that when certain condition does not hold, there can exist multiple UDEs.

... [another target-aligned mention] ...

Content may change prior to final publication. Citation information: DOI 10.1109/JSAC.2017.2659059, IEEE Journal on Selected Areas in Communications Algorithm 2: Achieve the UDE in a distributed manner in Stage II 1each useri2N chooses an initial usage x(0) i0; 2loop at each time interval t= 1;2;::: 3each useri2N in parallel: 4updates its usage as x(t+1) i = arg max xi2[0;1)ui(xi;x(t) ",mixed,grouped,Reference entry matched with high title confidence; marker appears in a grouped citation.,original_v21
