edge_id,source_id,target_id,citing_paper_title,cited_paper_title,citing_year,cited_year,target_reference_marker,target_reference_entry,reference_match_method,reference_match_score,num_mentions,all_target_aligned_contexts,context_type,alignment_status,alignment_note,candidate_upgrade_reason
W4323644227->W2168402580,W4323644227,W2168402580,A Survey of Data Pricing for Data Marketplaces,Query-based data pricing,2023,2020,17,"Nurdiani, I., Börstler , J., and Fricker , S. (2016) The Impact of Agile and Lean Practices on Project Constraints: A Tertiary Study. Journal of Systems and So ftware 119:162-183. Appendix: Bibliography of Included Papers Full version: https://dl.dropboxusercontent.com/u/21095508/FrickerMaksimov_IncludedPapers.pdf Shortened overview: P01 Balasubramanian, S. , et al (2015) Pricing information goods: A strategic anal- ysis of the selling and pay -per-use mechanisms. P02 Golrezaei, N., & Nazerzadeh , H. (2014) Pricing Schemes for Metropolitan Traffic Data Markets. P03 Jiang, C., et al (2015) Econo mics of peer -to-peer mobile crowdsensing . P04 Koutris, P. et al (2015) Query -based data pricing. P05 Koutris, P. et al (2013) Toward practical query pricing with QueryMarket. P06 Kushal, A. et al (2012) Pricing for data markets. P07 Li, C., & Miklau , G. (2012) Pricing Aggregate Queries in a Data Marketplace. P08 Li, C. et al (2014) A theory of pricing private data. P09 Niyato, D. et al (2016) Market model and optimal pricing scheme of big data and Internet of Things (IoT). P10 Stahl, F., & Vossen, G. (2016) Fair Knapsack Pricing for Data Marketplace s. P11 Tang, R. et al (2013) What you pay for is what you get. P12 Tang, R. et al (2013) The price is right. P13 Tang, R. et al (2015) Valuating Queries for Data Trading in Modern Cities. P14 Tang, R. et al (2016) A Framework for Sampling -Based XML Data Pricing. P15 Wu, S. Y. et al (2010) Best pricing strategy for information services. P16 Balazinska, M. , et al (2013) A discussion on pricing relational data. P17 Shapiro, C., & Varian, H. R. (1998) Versioning: the s mart way to sell information. P18 Shen, Y. (2016) A pricing model for Big Personal Data.",title_exact,0.97,1,"These quality criteria were also used by tertiary studies to judge the quality a secondary study like this literature review , e.g. [17]. Our research process use d a hybrid approach for literature search : keyword database search followed by snowballing.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W4210813858->W2533772775,W4210813858,W2533772775,Data Boundary and Data Pricing Based on the Shapley Value,A pricing model for Big Personal Data,2022,2016,[17],"Y. Shen, B. Guo, Y. Shen, X. Duan, X. Dong, and H. Zhang, ``A pricing model for big personal data,'' Tsinghua Sci. Technol., vol. 21, no. 5, pp. 482490, 2016.",title_exact,0.97,1,"Data-based pricing. They sell datasets and allow buyers to value the data directly based on the data features, including data information entropy levels [16], [17], data quality levels [18], [19], the fresh and real-time features [20], [21], and the amounts of data in the dataset [22]. Also, competitive data trading model [23] considered the willingness-to-sell of data providers and the willingness-to- pay of model buyers.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W4210813858->W2743929098,W4210813858,W2743929098,Data Boundary and Data Pricing Based on the Shapley Value,Data pricing strategy based on data quality,2022,2017,[18],"H. Yu and M. Zhang, ``Data pricing strategy based on data quality,'' Comput. Ind. Eng., vol. 112, pp. 110, Oct. 2017.",title_exact,0.97,1,"Data-based pricing. They sell datasets and allow buyers to value the data directly based on the data features, including data information entropy levels [16], [17], data quality levels [18], [19], the fresh and real-time features [20], [21], and the amounts of data in the dataset [22]. Also, competitive data trading model [23] considered the willingness-to-sell of data providers and the willingness-to- pay of model buyers.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W4210813858->W2910976764,W4210813858,W2910976764,Data Boundary and Data Pricing Based on the Shapley Value,Nonrivalry and the Economics of Data,2022,2020,[7],"C. I. Jones and C. Tonetti, ``Nonrivalry and the economics of data,'' Amer. Econ. Rev., vol. 110, no. 9, pp. 28192858, 2020.",title_exact,0.97,1,"A widely accepted approach for applications is to set prices to datasets directly based on their values. From an economic perspective, data value has been explored to study the impact on companies and industries [5][7]. From a computer science perspective, data value focuses on data compensation [8], [9] and data fusion [10], [11].",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W4210813858->W3084177365,W4210813858,W3084177365,Data Boundary and Data Pricing Based on the Shapley Value,A Survey on Data Pricing: From Economics to Data Science,2022,2020,[3],"J. Pei, ``A survey on data pricing: From economics to data science,'' IEEE Trans. Knowl. Data Eng., early access, Dec. 21, 2020, doi: 10.1109/TKDE.2020.3045927.",title_exact,0.97,1,"Recent studies and prac- tices have approached the commoditization of data in various ways, leading to the concepts of data pricing and data market. The associate editor coordinating the review of this manuscript and approving it for publication was Abdel-Hamid Soliman .Data pricing is to price data as asset and ensure that data can be sold or purchased as a commodity in business and economic activities [3]. The data market [4], [5] is where we trade data for revenue.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W3121561769->W2974598553,W3121561769,W2974598553,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,Too Much Data: Prices and Inefficiencies in Data Markets,2020,2020,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
W2956647116->W2790400697,W2956647116,W2790400697,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,"A Survey on Big Data Market: Pricing, Trading and Protection",2019,2018,[1],"F. Liang, W. Yu, D. An, et al., “A survey on big data market: Pricing,trading andprotection,” IEEEAccess, 2018, vol.6,pp.15132-15154.",title_compact_exact,0.99,1,"INDEX TERMS Datatradingmode,Smartcontract,Blockchain,Machinelearning,Ethereum.I. INTRODUCTION As many new technologies are integrated into our daily life, such as the mobile and the social network applications, and the smart systems based on the Internet of Things (IoT) (smart home, smart city, smart transportation, smart grid, etc.), a large amount of data will be collected[1].Wehaveenteredtheeraofbigdata, the data sharing and trading is the trend of the times and the inevitable demand of the market. As people pay more and more attention to the economic value of big data in improving the utility efficiency and the decision-making, thecustomer experience and other aspects, some third-party big data trading centers have been established [2].",exact,high_confidence,Candidate v2.2 rescue via title_compact_exact (score=0.990),Candidate v2.2 rescue via title_compact_exact (score=0.990)
W2982407593->W2612128091,W2982407593,W2612128091,Trading Private Range Counting over Big IoT Data,QIRANA,2019,2020,[22],"S. Deep and P. Koutris, “Qirana: A framework for scalable query pricing, ”i n Proceedings of the 2017 ACM International Conference on Management of Data . ACM, 2017, pp. 699–713.",title_exact,0.97,1,"Trading Private Aggregation. For the trade of data analyzing results, current research mainly focuses on arbitrage avoiding in querying-based pricing mechanisms [22] [23]. The work in [9] proposes some arbitrage avoiding pricing mechanisms for arbitrary formats of queries.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W1516789636->W1777686370,W1516789636,W1777686370,Debt Sustainability and Procyclical Fiscal Policies in Latin America,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,2007,2020,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
W3117086259->W2910976764,W3117086259,W2910976764,"Fintech: what’s old, what’s new?",Nonrivalry and the Economics of Data,2020,2020,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
