OpenAlex_ID,Q_Score,Title,Rank
W2097281067,0.7152175496792256,TUBE,1
W2974598553,0.4461279827317953,Too Much Data: Prices and Inefficiencies in Data Markets,2
W3123243120,0.39574962650796597,Nonrivalry and the Economics of Data,3
W2168402580,0.14612570967617391,Query-based data pricing,4
W2910976764,0.11249849367019155,Nonrivalry and the Economics of Data,5
W2473283431,0.09565338394538118,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,6
W2790400697,0.09143502334197516,"A Survey on Big Data Market: Pricing, Trading and Protection",7
W2010653253,0.08125866841591156,A survey of smart data pricing,8
W1841962286,0.07645639946255008,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,9
W2045522464,0.06266794260076913,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,10
W1777686370,0.06049170593092729,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,11
W2150449738,0.05976879037742265,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,12
W2293940046,0.05360616237940197,Query-Based Data Pricing,13
W2612128091,0.05113388625046629,QIRANA,14
W2289113545,0.04212350036799681,Smart data pricing models for the internet of things: a bundling strategy approach,15
W2018362551,0.04111650086050756,The challenges of personal data markets and privacy,16
W1994174199,0.03753816859010821,Smart data pricing: To share or not to share?,17
W2950902070,0.032380132377222225,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",18
W2743929098,0.030482696892306465,Data pricing strategy based on data quality,19
W2533772775,0.028686756577353752,A pricing model for Big Personal Data,20
W3215634159,0.028676470588235296,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,21
W3121615946,0.02626575630252101,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,22
W3124517880,0.024726855406768167,Optimal Sticky Prices under Rational Inattention,23
W2734426755,0.023794909388334663,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,24
W2765365501,0.021552519646228226,Pricing of Data Products in Data Marketplaces,25
W3084177365,0.02080003941483187,A Survey on Data Pricing: From Economics to Data Science,26
W2759182208,0.016846396250905563,Pricing privacy – the right to know the value of your personal data,27
W1998665878,0.012849966442467909,When Network Effect Meets Congestion Effect,28
W2920282816,0.010380611173767013,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,29
W2180742472,0.0076629666998181255,Smart data pricing,30
